,# edges,setting,Accuracy
0,200,random-R,0.8284132841328413
1,400,random-R,0.8228782287822878
2,600,random-R,0.8228782287822878
3,800,random-R,0.8228782287822878
4,1000,random-R,0.8228782287822878
5,1200,random-R,0.8099630996309963
6,1400,random-R,0.8025830258302583
7,1600,random-R,0.7952029520295203
8,1800,random-R,0.7859778597785978
9,2000,random-R,0.7546125461254612
10,200,random-U,0.8302583025830258
11,400,random-U,0.8173431734317343
12,600,random-U,0.8191881918819188
13,800,random-U,0.8191881918819188
14,1000,random-U,0.8154981549815498
15,1200,random-U,0.8025830258302583
16,1400,random-U,0.7933579335793358
17,1600,random-U,0.7933579335793358
18,1800,random-U,0.7859778597785978
19,2000,random-U,0.7638376383763837
20,200,max-degree-R,0.8191881918819188
21,400,max-degree-R,0.8210332103321033
22,600,max-degree-R,0.8173431734317343
23,800,max-degree-R,0.8247232472324724
24,1000,max-degree-R,0.8173431734317343
25,1200,max-degree-R,0.8173431734317343
26,1400,max-degree-R,0.8136531365313653
27,1600,max-degree-R,0.7988929889298892
28,1800,max-degree-R,0.7970479704797048
29,2000,max-degree-R,0.7896678966789668
30,200,max-degree-U,0.8247232472324724
31,400,max-degree-U,0.8247232472324724
32,600,max-degree-U,0.8265682656826568
33,800,max-degree-U,0.8321033210332104
34,1000,max-degree-U,0.8228782287822878
35,1200,max-degree-U,0.8210332103321033
36,1400,max-degree-U,0.8191881918819188
37,1600,max-degree-U,0.8081180811808119
38,1800,max-degree-U,0.8136531365313653
39,2000,max-degree-U,0.8007380073800738
40,200,min-degree-R,0.7970479704797048
41,400,min-degree-R,0.7749077490774908
42,600,min-degree-R,0.7564575645756457
43,800,min-degree-R,0.7472324723247232
44,1000,min-degree-R,0.7269372693726938
45,1200,min-degree-R,0.7029520295202952
46,1400,min-degree-R,0.6918819188191881
47,1600,min-degree-R,0.6845018450184502
48,1800,min-degree-R,0.6771217712177122
49,2000,min-degree-R,0.6512915129151291
50,200,min-degree-U,0.7896678966789668
51,400,min-degree-U,0.7749077490774908
52,600,min-degree-U,0.7564575645756457
53,800,min-degree-U,0.7546125461254612
54,1000,min-degree-U,0.7472324723247232
55,1200,min-degree-U,0.7324723247232472
56,1400,min-degree-U,0.7140221402214022
57,1600,min-degree-U,0.7435424354243543
58,1800,min-degree-U,0.7343173431734318
59,2000,min-degree-U,0.7306273062730627
60,200,saliency-R,0.8154981549815498
61,400,saliency-R,0.7933579335793358
62,600,saliency-R,0.7675276752767528
63,800,saliency-R,0.7509225092250923
64,1000,saliency-R,0.7453874538745388
65,1200,saliency-R,0.7343173431734318
66,1400,saliency-R,0.7195571955719557
67,1600,saliency-R,0.7121771217712177
68,1800,saliency-R,0.7011070110701108
69,2000,saliency-R,0.6863468634686347
70,200,saliency-U,0.8394833948339483
71,400,saliency-U,0.8468634686346863
72,600,saliency-U,0.8394833948339483
73,800,saliency-U,0.8339483394833949
74,1000,saliency-U,0.8302583025830258
75,1200,saliency-U,0.8302583025830258
76,1400,saliency-U,0.8099630996309963
77,1600,saliency-U,0.7988929889298892
78,1800,saliency-U,0.7767527675276753
79,2000,saliency-U,0.7749077490774908
