,# edges,setting,Accuracy
0,200,random-R,0.8431734317343174
1,400,random-R,0.8413284132841329
2,600,random-R,0.8450184501845018
3,800,random-R,0.8284132841328413
4,1000,random-R,0.8376383763837638
5,1200,random-R,0.8413284132841329
6,1400,random-R,0.8228782287822878
7,1600,random-R,0.8044280442804428
8,1800,random-R,0.7859778597785978
9,2000,random-R,0.8062730627306273
10,200,random-U,0.8394833948339483
11,400,random-U,0.8431734317343174
12,600,random-U,0.8376383763837638
13,800,random-U,0.8468634686346863
14,1000,random-U,0.8413284132841329
15,1200,random-U,0.8431734317343174
16,1400,random-U,0.8357933579335793
17,1600,random-U,0.8302583025830258
18,1800,random-U,0.8154981549815498
19,2000,random-U,0.8228782287822878
20,200,max-degree-R,0.8431734317343174
21,400,max-degree-R,0.8339483394833949
22,600,max-degree-R,0.8228782287822878
23,800,max-degree-R,0.8376383763837638
24,1000,max-degree-R,0.8228782287822878
25,1200,max-degree-R,0.8173431734317343
26,1400,max-degree-R,0.8265682656826568
27,1600,max-degree-R,0.8118081180811808
28,1800,max-degree-R,0.8118081180811808
29,2000,max-degree-R,0.8044280442804428
30,200,max-degree-U,0.8339483394833949
31,400,max-degree-U,0.8302583025830258
32,600,max-degree-U,0.8302583025830258
33,800,max-degree-U,0.8265682656826568
34,1000,max-degree-U,0.8376383763837638
35,1200,max-degree-U,0.8247232472324724
36,1400,max-degree-U,0.8210332103321033
37,1600,max-degree-U,0.8191881918819188
38,1800,max-degree-U,0.8173431734317343
39,2000,max-degree-U,0.8118081180811808
40,200,min-degree-R,0.8025830258302583
41,400,min-degree-R,0.8136531365313653
42,600,min-degree-R,0.7712177121771218
43,800,min-degree-R,0.8136531365313653
44,1000,min-degree-R,0.8081180811808119
45,1200,min-degree-R,0.8025830258302583
46,1400,min-degree-R,0.8099630996309963
47,1600,min-degree-R,0.8099630996309963
48,1800,min-degree-R,0.8099630996309963
49,2000,min-degree-R,0.7121771217712177
50,200,min-degree-U,0.8357933579335793
51,400,min-degree-U,0.8284132841328413
52,600,min-degree-U,0.8376383763837638
53,800,min-degree-U,0.8413284132841329
54,1000,min-degree-U,0.8413284132841329
55,1200,min-degree-U,0.8376383763837638
56,1400,min-degree-U,0.8450184501845018
57,1600,min-degree-U,0.8413284132841329
58,1800,min-degree-U,0.8228782287822878
59,2000,min-degree-U,0.8321033210332104
60,200,saliency-R,0.8394833948339483
61,400,saliency-R,0.8284132841328413
62,600,saliency-R,0.8431734317343174
63,800,saliency-R,0.8394833948339483
64,1000,saliency-R,0.8431734317343174
65,1200,saliency-R,0.8228782287822878
66,1400,saliency-R,0.8413284132841329
67,1600,saliency-R,0.8394833948339483
68,1800,saliency-R,0.8431734317343174
69,2000,saliency-R,0.8413284132841329
70,200,saliency-U,0.8284132841328413
71,400,saliency-U,0.8357933579335793
72,600,saliency-U,0.8376383763837638
73,800,saliency-U,0.8376383763837638
74,1000,saliency-U,0.8413284132841329
75,1200,saliency-U,0.8431734317343174
76,1400,saliency-U,0.8376383763837638
77,1600,saliency-U,0.8394833948339483
78,1800,saliency-U,0.8394833948339483
79,2000,saliency-U,0.8394833948339483
