,# edges,setting,Accuracy
0,200,random-R,0.8228782287822878
1,400,random-R,0.8339483394833949
2,600,random-R,0.8210332103321033
3,800,random-R,0.8173431734317343
4,1000,random-R,0.7970479704797048
5,1200,random-R,0.8173431734317343
6,1400,random-R,0.8173431734317343
7,1600,random-R,0.8081180811808119
8,1800,random-R,0.7749077490774908
9,2000,random-R,0.8062730627306273
10,200,random-U,0.8302583025830258
11,400,random-U,0.8321033210332104
12,600,random-U,0.8265682656826568
13,800,random-U,0.8284132841328413
14,1000,random-U,0.8247232472324724
15,1200,random-U,0.8228782287822878
16,1400,random-U,0.8173431734317343
17,1600,random-U,0.8118081180811808
18,1800,random-U,0.8081180811808119
19,2000,random-U,0.8062730627306273
20,200,max-degree-R,0.8413284132841329
21,400,max-degree-R,0.8302583025830258
22,600,max-degree-R,0.8302583025830258
23,800,max-degree-R,0.8321033210332104
24,1000,max-degree-R,0.8284132841328413
25,1200,max-degree-R,0.8321033210332104
26,1400,max-degree-R,0.8191881918819188
27,1600,max-degree-R,0.8081180811808119
28,1800,max-degree-R,0.8062730627306273
29,2000,max-degree-R,0.7988929889298892
30,200,max-degree-U,0.8247232472324724
31,400,max-degree-U,0.8191881918819188
32,600,max-degree-U,0.8099630996309963
33,800,max-degree-U,0.7988929889298892
34,1000,max-degree-U,0.7970479704797048
35,1200,max-degree-U,0.7915129151291513
36,1400,max-degree-U,0.7841328413284133
37,1600,max-degree-U,0.7841328413284133
38,1800,max-degree-U,0.7841328413284133
39,2000,max-degree-U,0.7749077490774908
40,200,min-degree-R,0.8284132841328413
41,400,min-degree-R,0.8118081180811808
42,600,min-degree-R,0.7988929889298892
43,800,min-degree-R,0.7988929889298892
44,1000,min-degree-R,0.8062730627306273
45,1200,min-degree-R,0.7896678966789668
46,1400,min-degree-R,0.7804428044280443
47,1600,min-degree-R,0.7804428044280443
48,1800,min-degree-R,0.7804428044280443
49,2000,min-degree-R,0.7656826568265682
50,200,min-degree-U,0.8265682656826568
51,400,min-degree-U,0.8210332103321033
52,600,min-degree-U,0.8136531365313653
53,800,min-degree-U,0.8173431734317343
54,1000,min-degree-U,0.8081180811808119
55,1200,min-degree-U,0.8081180811808119
56,1400,min-degree-U,0.7952029520295203
57,1600,min-degree-U,0.7841328413284133
58,1800,min-degree-U,0.7841328413284133
59,2000,min-degree-U,0.7675276752767528
60,200,saliency-R,0.8413284132841329
61,400,saliency-R,0.8468634686346863
62,600,saliency-R,0.8505535055350554
63,800,saliency-R,0.8302583025830258
64,1000,saliency-R,0.8468634686346863
65,1200,saliency-R,0.8523985239852399
66,1400,saliency-R,0.8302583025830258
67,1600,saliency-R,0.8321033210332104
68,1800,saliency-R,0.8487084870848709
69,2000,saliency-R,0.8431734317343174
70,200,saliency-U,0.8284132841328413
71,400,saliency-U,0.8284132841328413
72,600,saliency-U,0.8284132841328413
73,800,saliency-U,0.8284132841328413
74,1000,saliency-U,0.8302583025830258
75,1200,saliency-U,0.8302583025830258
76,1400,saliency-U,0.8302583025830258
77,1600,saliency-U,0.8302583025830258
78,1800,saliency-U,0.8302583025830258
79,2000,saliency-U,0.8302583025830258
