,# edges,setting,Accuracy
0,200,random-R,0.8321033210332104
1,400,random-R,0.8007380073800738
2,600,random-R,0.8062730627306273
3,800,random-R,0.7896678966789668
4,1000,random-R,0.8154981549815498
5,1200,random-R,0.7693726937269373
6,1400,random-R,0.7878228782287823
7,1600,random-R,0.7564575645756457
8,1800,random-R,0.7822878228782287
9,2000,random-R,0.6771217712177122
10,200,random-U,0.8099630996309963
11,400,random-U,0.7988929889298892
12,600,random-U,0.8025830258302583
13,800,random-U,0.8025830258302583
14,1000,random-U,0.7952029520295203
15,1200,random-U,0.7896678966789668
16,1400,random-U,0.7693726937269373
17,1600,random-U,0.7619926199261993
18,1800,random-U,0.7546125461254612
19,2000,random-U,0.7250922509225092
20,200,max-degree-R,0.8339483394833949
21,400,max-degree-R,0.8191881918819188
22,600,max-degree-R,0.8025830258302583
23,800,max-degree-R,0.7988929889298892
24,1000,max-degree-R,0.8025830258302583
25,1200,max-degree-R,0.7453874538745388
26,1400,max-degree-R,0.7712177121771218
27,1600,max-degree-R,0.6457564575645757
28,1800,max-degree-R,0.7583025830258303
29,2000,max-degree-R,0.7103321033210332
30,200,max-degree-U,0.7509225092250923
31,400,max-degree-U,0.7103321033210332
32,600,max-degree-U,0.6845018450184502
33,800,max-degree-U,0.6789667896678967
34,1000,max-degree-U,0.6697416974169742
35,1200,max-degree-U,0.6660516605166051
36,1400,max-degree-U,0.6494464944649446
37,1600,max-degree-U,0.6365313653136532
38,1800,max-degree-U,0.6291512915129152
39,2000,max-degree-U,0.6143911439114391
40,200,min-degree-R,0.7804428044280443
41,400,min-degree-R,0.7896678966789668
42,600,min-degree-R,0.7730627306273062
43,800,min-degree-R,0.7103321033210332
44,1000,min-degree-R,0.6549815498154982
45,1200,min-degree-R,0.7693726937269373
46,1400,min-degree-R,0.6457564575645757
47,1600,min-degree-R,0.7453874538745388
48,1800,min-degree-R,0.6992619926199262
49,2000,min-degree-R,0.6752767527675276
50,200,min-degree-U,0.8044280442804428
51,400,min-degree-U,0.7933579335793358
52,600,min-degree-U,0.7952029520295203
53,800,min-degree-U,0.7804428044280443
54,1000,min-degree-U,0.7767527675276753
55,1200,min-degree-U,0.7749077490774908
56,1400,min-degree-U,0.7730627306273062
57,1600,min-degree-U,0.7564575645756457
58,1800,min-degree-U,0.7435424354243543
59,2000,min-degree-U,0.7306273062730627
60,200,saliency-R,0.8191881918819188
61,400,saliency-R,0.7730627306273062
62,600,saliency-R,0.7841328413284133
63,800,saliency-R,0.8118081180811808
64,1000,saliency-R,0.8136531365313653
65,1200,saliency-R,0.8284132841328413
66,1400,saliency-R,0.7730627306273062
67,1600,saliency-R,0.8081180811808119
68,1800,saliency-R,0.7656826568265682
69,2000,saliency-R,0.8191881918819188
70,200,saliency-U,0.8099630996309963
71,400,saliency-U,0.8118081180811808
72,600,saliency-U,0.8154981549815498
73,800,saliency-U,0.8136531365313653
74,1000,saliency-U,0.8136531365313653
75,1200,saliency-U,0.8136531365313653
76,1400,saliency-U,0.8154981549815498
77,1600,saliency-U,0.8154981549815498
78,1800,saliency-U,0.8154981549815498
79,2000,saliency-U,0.8154981549815498
