,# edges,setting,Accuracy
0,200,random-R,0.8081180811808119
1,400,random-R,0.7343173431734318
2,600,random-R,0.7066420664206642
3,800,random-R,0.7730627306273062
4,1000,random-R,0.7822878228782287
5,1200,random-R,0.7952029520295203
6,1400,random-R,0.7324723247232472
7,1600,random-R,0.6715867158671587
8,1800,random-R,0.7490774907749077
9,2000,random-R,0.7103321033210332
10,200,random-U,0.8099630996309963
11,400,random-U,0.8099630996309963
12,600,random-U,0.8081180811808119
13,800,random-U,0.7915129151291513
14,1000,random-U,0.7988929889298892
15,1200,random-U,0.7933579335793358
16,1400,random-U,0.7398523985239852
17,1600,random-U,0.7380073800738007
18,1800,random-U,0.7011070110701108
19,2000,random-U,0.6845018450184502
20,200,max-degree-R,0.8136531365313653
21,400,max-degree-R,0.7933579335793358
22,600,max-degree-R,0.8062730627306273
23,800,max-degree-R,0.8099630996309963
24,1000,max-degree-R,0.8431734317343174
25,1200,max-degree-R,0.8302583025830258
26,1400,max-degree-R,0.8284132841328413
27,1600,max-degree-R,0.8044280442804428
28,1800,max-degree-R,0.7988929889298892
29,2000,max-degree-R,0.7952029520295203
30,200,max-degree-U,0.7952029520295203
31,400,max-degree-U,0.7509225092250923
32,600,max-degree-U,0.7509225092250923
33,800,max-degree-U,0.7472324723247232
34,1000,max-degree-U,0.7380073800738007
35,1200,max-degree-U,0.7398523985239852
36,1400,max-degree-U,0.7269372693726938
37,1600,max-degree-U,0.7066420664206642
38,1800,max-degree-U,0.7066420664206642
39,2000,max-degree-U,0.6918819188191881
40,200,min-degree-R,0.8044280442804428
41,400,min-degree-R,0.7416974169741697
42,600,min-degree-R,0.7343173431734318
43,800,min-degree-R,0.7416974169741697
44,1000,min-degree-R,0.7029520295202952
45,1200,min-degree-R,0.7011070110701108
46,1400,min-degree-R,0.6900369003690037
47,1600,min-degree-R,0.6457564575645757
48,1800,min-degree-R,0.6439114391143912
49,2000,min-degree-R,0.6420664206642066
50,200,min-degree-U,0.7933579335793358
51,400,min-degree-U,0.7878228782287823
52,600,min-degree-U,0.7749077490774908
53,800,min-degree-U,0.7656826568265682
54,1000,min-degree-U,0.7601476014760148
55,1200,min-degree-U,0.7509225092250923
56,1400,min-degree-U,0.7416974169741697
57,1600,min-degree-U,0.7361623616236163
58,1800,min-degree-U,0.7250922509225092
59,2000,min-degree-U,0.7250922509225092
60,200,saliency-R,0.7952029520295203
61,400,saliency-R,0.7712177121771218
62,600,saliency-R,0.7601476014760148
63,800,saliency-R,0.7564575645756457
64,1000,saliency-R,0.7416974169741697
65,1200,saliency-R,0.7287822878228782
66,1400,saliency-R,0.7158671586715867
67,1600,saliency-R,0.7047970479704797
68,1800,saliency-R,0.7029520295202952
69,2000,saliency-R,0.6826568265682657
70,200,saliency-U,0.8099630996309963
71,400,saliency-U,0.8118081180811808
72,600,saliency-U,0.8081180811808119
73,800,saliency-U,0.8118081180811808
74,1000,saliency-U,0.8173431734317343
75,1200,saliency-U,0.8136531365313653
76,1400,saliency-U,0.7416974169741697
77,1600,saliency-U,0.7287822878228782
78,1800,saliency-U,0.7158671586715867
79,2000,saliency-U,0.6992619926199262
