,# edges,setting,Accuracy
0,200,random-R,0.8118081180811808
1,400,random-R,0.8376383763837638
2,600,random-R,0.8302583025830258
3,800,random-R,0.8394833948339483
4,1000,random-R,0.7656826568265682
5,1200,random-R,0.8044280442804428
6,1400,random-R,0.8173431734317343
7,1600,random-R,0.8062730627306273
8,1800,random-R,0.7896678966789668
9,2000,random-R,0.8136531365313653
10,200,random-U,0.7988929889298892
11,400,random-U,0.8025830258302583
12,600,random-U,0.8007380073800738
13,800,random-U,0.8025830258302583
14,1000,random-U,0.8007380073800738
15,1200,random-U,0.8007380073800738
16,1400,random-U,0.8007380073800738
17,1600,random-U,0.7952029520295203
18,1800,random-U,0.7878228782287823
19,2000,random-U,0.7841328413284133
20,200,max-degree-R,0.8339483394833949
21,400,max-degree-R,0.8228782287822878
22,600,max-degree-R,0.7822878228782287
23,800,max-degree-R,0.8357933579335793
24,1000,max-degree-R,0.8339483394833949
25,1200,max-degree-R,0.7952029520295203
26,1400,max-degree-R,0.8136531365313653
27,1600,max-degree-R,0.8007380073800738
28,1800,max-degree-R,0.7490774907749077
29,2000,max-degree-R,0.7970479704797048
30,200,max-degree-U,0.8007380073800738
31,400,max-degree-U,0.7952029520295203
32,600,max-degree-U,0.7970479704797048
33,800,max-degree-U,0.7915129151291513
34,1000,max-degree-U,0.7915129151291513
35,1200,max-degree-U,0.7915129151291513
36,1400,max-degree-U,0.7822878228782287
37,1600,max-degree-U,0.7878228782287823
38,1800,max-degree-U,0.7841328413284133
39,2000,max-degree-U,0.7730627306273062
40,200,min-degree-R,0.7712177121771218
41,400,min-degree-R,0.7804428044280443
42,600,min-degree-R,0.7878228782287823
43,800,min-degree-R,0.7380073800738007
44,1000,min-degree-R,0.7435424354243543
45,1200,min-degree-R,0.7675276752767528
46,1400,min-degree-R,0.7490774907749077
47,1600,min-degree-R,0.6549815498154982
48,1800,min-degree-R,0.7343173431734318
49,2000,min-degree-R,0.7324723247232472
50,200,min-degree-U,0.8099630996309963
51,400,min-degree-U,0.7878228782287823
52,600,min-degree-U,0.7712177121771218
53,800,min-degree-U,0.7564575645756457
54,1000,min-degree-U,0.7490774907749077
55,1200,min-degree-U,0.7472324723247232
56,1400,min-degree-U,0.7398523985239852
57,1600,min-degree-U,0.7195571955719557
58,1800,min-degree-U,0.7140221402214022
59,2000,min-degree-U,0.7103321033210332
60,200,saliency-R,0.7804428044280443
61,400,saliency-R,0.8284132841328413
62,600,saliency-R,0.8339483394833949
63,800,saliency-R,0.8210332103321033
64,1000,saliency-R,0.8247232472324724
65,1200,saliency-R,0.8321033210332104
66,1400,saliency-R,0.8191881918819188
67,1600,saliency-R,0.8210332103321033
68,1800,saliency-R,0.8357933579335793
69,2000,saliency-R,0.8321033210332104
70,200,saliency-U,0.8007380073800738
71,400,saliency-U,0.7988929889298892
72,600,saliency-U,0.8007380073800738
73,800,saliency-U,0.7988929889298892
74,1000,saliency-U,0.8007380073800738
75,1200,saliency-U,0.8007380073800738
76,1400,saliency-U,0.8025830258302583
77,1600,saliency-U,0.8044280442804428
78,1800,saliency-U,0.8044280442804428
79,2000,saliency-U,0.8044280442804428
