,# edges,setting,accuracy
0,100,Retrain,0.8872180451127819
1,100,Benign,0.8336466165413534
2,100,Advesarial,0.6516516516516516
3,200,Retrain,0.8872180451127819
4,200,Benign,0.7965225563909775
5,200,Advesarial,0.6396396396396397
6,400,Retrain,0.8872180451127819
7,400,Benign,0.8707706766917294
8,400,Advesarial,0.6531531531531531
9,800,Retrain,0.8872180451127819
10,800,Benign,0.831766917293233
11,800,Advesarial,0.5945945945945946
12,1000,Retrain,0.8872180451127819
13,1000,Benign,0.6555451127819549
14,1000,Advesarial,0.6126126126126126
15,100,Retrain,0.9083646616541353
16,100,Benign,0.8594924812030075
17,100,Advesarial,0.6546546546546547
18,200,Retrain,0.9083646616541353
19,200,Benign,0.6804511278195489
20,200,Advesarial,0.6126126126126126
21,400,Retrain,0.9083646616541353
22,400,Benign,0.7424812030075187
23,400,Advesarial,0.5915915915915916
24,800,Retrain,0.9083646616541353
25,800,Benign,0.6597744360902256
26,800,Advesarial,0.6066066066066066
27,1000,Retrain,0.9083646616541353
28,1000,Benign,0.5582706766917294
29,1000,Advesarial,0.5690690690690691
30,100,Retrain,0.8989661654135338
31,100,Benign,0.8054511278195489
32,100,Advesarial,0.6726726726726727
33,200,Retrain,0.8989661654135338
34,200,Benign,0.756109022556391
35,200,Advesarial,0.6951951951951952
36,400,Retrain,0.8989661654135338
37,400,Benign,0.8383458646616542
38,400,Advesarial,0.5690690690690691
39,800,Retrain,0.8989661654135338
40,800,Benign,0.631578947368421
41,800,Advesarial,0.6111111111111112
42,1000,Retrain,0.8989661654135338
43,1000,Benign,0.5864661654135338
44,1000,Advesarial,0.6441441441441441
45,100,Retrain,0.8862781954887218
46,100,Benign,0.8026315789473685
47,100,Advesarial,0.539039039039039
48,200,Retrain,0.8862781954887218
49,200,Benign,0.8153195488721805
50,200,Advesarial,0.6366366366366366
51,400,Retrain,0.8862781954887218
52,400,Benign,0.5239661654135338
53,400,Advesarial,0.6441441441441441
54,800,Retrain,0.8862781954887218
55,800,Benign,0.8054511278195489
56,800,Advesarial,0.6021021021021021
57,1000,Retrain,0.8862781954887218
58,1000,Benign,0.837875939849624
59,1000,Advesarial,0.5570570570570571
60,100,Retrain,0.8947368421052632
61,100,Benign,0.8176691729323309
62,100,Advesarial,0.6636636636636637
63,200,Retrain,0.8947368421052632
64,200,Benign,0.8237781954887218
65,200,Advesarial,0.6921921921921922
66,400,Retrain,0.8947368421052632
67,400,Benign,0.8157894736842105
68,400,Advesarial,0.6726726726726727
69,800,Retrain,0.8947368421052632
70,800,Benign,0.7885338345864662
71,800,Advesarial,0.5405405405405406
72,1000,Retrain,0.8947368421052632
73,1000,Benign,0.7095864661654135
74,1000,Advesarial,0.6336336336336337
75,100,Retrain,0.9107142857142857
76,100,Benign,0.8482142857142857
77,100,Advesarial,0.6876876876876877
78,200,Retrain,0.9107142857142857
79,200,Benign,0.6015037593984962
80,200,Advesarial,0.6786786786786787
81,400,Retrain,0.9107142857142857
82,400,Benign,0.7255639097744361
83,400,Advesarial,0.496996996996997
84,800,Retrain,0.9107142857142857
85,800,Benign,0.6710526315789473
86,800,Advesarial,0.6501501501501501
87,1000,Retrain,0.9107142857142857
88,1000,Benign,0.7908834586466166
89,1000,Advesarial,0.5945945945945946
90,100,Retrain,0.9022556390977443
91,100,Benign,0.8247180451127819
92,100,Advesarial,0.6261261261261262
93,200,Retrain,0.9022556390977443
94,200,Benign,0.8439849624060151
95,200,Advesarial,0.6711711711711712
96,400,Retrain,0.9022556390977443
97,400,Benign,0.7354323308270677
98,400,Advesarial,0.6171171171171171
99,800,Retrain,0.9022556390977443
100,800,Benign,0.7034774436090225
101,800,Advesarial,0.56006006006006
102,1000,Retrain,0.9022556390977443
103,1000,Benign,0.805921052631579
104,1000,Advesarial,0.581081081081081
105,100,Retrain,0.8970864661654135
106,100,Benign,0.6259398496240601
107,100,Advesarial,0.6741741741741741
108,200,Retrain,0.8970864661654135
109,200,Benign,0.7796052631578947
110,200,Advesarial,0.6576576576576577
111,400,Retrain,0.8970864661654135
112,400,Benign,0.8200187969924813
113,400,Advesarial,0.545045045045045
114,800,Retrain,0.8970864661654135
115,800,Benign,0.799812030075188
116,800,Advesarial,0.34984984984984985
117,1000,Retrain,0.8970864661654135
118,1000,Benign,0.6574248120300752
119,1000,Advesarial,0.5855855855855856
120,100,Retrain,0.9055451127819549
121,100,Benign,0.8369360902255639
122,100,Advesarial,0.6681681681681682
123,200,Retrain,0.9055451127819549
124,200,Benign,0.7800751879699248
125,200,Advesarial,0.6546546546546547
126,400,Retrain,0.9055451127819549
127,400,Benign,0.6405075187969925
128,400,Advesarial,0.6426426426426426
129,800,Retrain,0.9055451127819549
130,800,Benign,0.7974624060150376
131,800,Advesarial,0.539039039039039
132,1000,Retrain,0.9055451127819549
133,1000,Benign,0.6875
134,1000,Advesarial,0.6306306306306306
135,100,Retrain,0.9031954887218046
136,100,Benign,0.8265977443609023
137,100,Advesarial,0.5975975975975976
138,200,Retrain,0.9031954887218046
139,200,Benign,0.7142857142857143
140,200,Advesarial,0.7057057057057057
141,400,Retrain,0.9031954887218046
142,400,Benign,0.7514097744360902
143,400,Advesarial,0.5960960960960962
144,800,Retrain,0.9031954887218046
145,800,Benign,0.706766917293233
146,800,Advesarial,0.6081081081081081
147,1000,Retrain,0.9031954887218046
148,1000,Benign,0.7697368421052632
149,1000,Advesarial,0.5135135135135135
