,# edges,setting,accuracy
0,100,Retrain,0.8900375939849624
1,100,Benign,0.6766917293233082
2,100,Advesarial,0.503003003003003
3,200,Retrain,0.8900375939849624
4,200,Benign,0.831766917293233
5,200,Advesarial,0.45645645645645644
6,400,Retrain,0.8900375939849624
7,400,Benign,0.6508458646616542
8,400,Advesarial,0.4264264264264264
9,800,Retrain,0.8900375939849624
10,800,Benign,0.5451127819548872
11,800,Advesarial,0.6666666666666666
12,1000,Retrain,0.8900375939849624
13,1000,Benign,0.5827067669172933
14,1000,Advesarial,0.493993993993994
15,100,Retrain,0.8764097744360902
16,100,Benign,0.7608082706766918
17,100,Advesarial,0.6621621621621622
18,200,Retrain,0.8764097744360902
19,200,Benign,0.618421052631579
20,200,Advesarial,0.56006006006006
21,400,Retrain,0.8764097744360902
22,400,Benign,0.7551691729323309
23,400,Advesarial,0.4864864864864865
24,800,Retrain,0.8764097744360902
25,800,Benign,0.5267857142857143
26,800,Advesarial,0.4114114114114114
27,1000,Retrain,0.8764097744360902
28,1000,Benign,0.6033834586466166
29,1000,Advesarial,0.5615615615615616
30,100,Retrain,0.8919172932330827
31,100,Benign,0.5888157894736842
32,100,Advesarial,0.4114114114114114
33,200,Retrain,0.8919172932330827
34,200,Benign,0.39379699248120303
35,200,Advesarial,0.5555555555555556
36,400,Retrain,0.8919172932330827
37,400,Benign,0.5046992481203008
38,400,Advesarial,0.44894894894894893
39,800,Retrain,0.8919172932330827
40,800,Benign,0.5338345864661654
41,800,Advesarial,0.5420420420420421
42,1000,Retrain,0.8919172932330827
43,1000,Benign,0.6564849624060151
44,1000,Advesarial,0.5705705705705706
45,100,Retrain,0.8726503759398496
46,100,Benign,0.5512218045112782
47,100,Advesarial,0.5825825825825826
48,200,Retrain,0.8726503759398496
49,200,Benign,0.694078947368421
50,200,Advesarial,0.466966966966967
51,400,Retrain,0.8726503759398496
52,400,Benign,0.6752819548872181
53,400,Advesarial,0.5045045045045045
54,800,Retrain,0.8726503759398496
55,800,Benign,0.5079887218045113
56,800,Advesarial,0.56006006006006
57,1000,Retrain,0.8726503759398496
58,1000,Benign,0.6287593984962406
59,1000,Advesarial,0.3948948948948949
60,100,Retrain,0.8914473684210527
61,100,Benign,0.6470864661654135
62,100,Advesarial,0.6276276276276276
63,200,Retrain,0.8914473684210527
64,200,Benign,0.5625
65,200,Advesarial,0.5165165165165165
66,400,Retrain,0.8914473684210527
67,400,Benign,0.5004699248120301
68,400,Advesarial,0.3153153153153153
69,800,Retrain,0.8914473684210527
70,800,Benign,0.46475563909774437
71,800,Advesarial,0.45045045045045046
72,1000,Retrain,0.8914473684210527
73,1000,Benign,0.7622180451127819
74,1000,Advesarial,0.4624624624624625
75,100,Retrain,0.8547932330827067
76,100,Benign,0.6762218045112782
77,100,Advesarial,0.5525525525525525
78,200,Retrain,0.8547932330827067
79,200,Benign,0.512687969924812
80,200,Advesarial,0.6966966966966966
81,400,Retrain,0.8547932330827067
82,400,Benign,0.6597744360902256
83,400,Advesarial,0.524024024024024
84,800,Retrain,0.8547932330827067
85,800,Benign,0.3482142857142857
86,800,Advesarial,0.3333333333333333
87,1000,Retrain,0.8547932330827067
88,1000,Benign,0.7697368421052632
89,1000,Advesarial,0.2912912912912913
90,100,Retrain,0.8919172932330827
91,100,Benign,0.7542293233082706
92,100,Advesarial,0.5645645645645646
93,200,Retrain,0.8919172932330827
94,200,Benign,0.6776315789473685
95,200,Advesarial,0.484984984984985
96,400,Retrain,0.8919172932330827
97,400,Benign,0.3242481203007519
98,400,Advesarial,0.47147147147147145
99,800,Retrain,0.8919172932330827
100,800,Benign,0.6649436090225563
101,800,Advesarial,0.5645645645645646
102,1000,Retrain,0.8919172932330827
103,1000,Benign,0.693609022556391
104,1000,Advesarial,0.45645645645645644
105,100,Retrain,0.8895676691729323
106,100,Benign,0.5343045112781954
107,100,Advesarial,0.6726726726726727
108,200,Retrain,0.8895676691729323
109,200,Benign,0.5117481203007519
110,200,Advesarial,0.4924924924924925
111,400,Retrain,0.8895676691729323
112,400,Benign,0.6644736842105263
113,400,Advesarial,0.43543543543543545
114,800,Retrain,0.8895676691729323
115,800,Benign,0.3275375939849624
116,800,Advesarial,0.5900900900900901
117,1000,Retrain,0.8895676691729323
118,1000,Benign,0.46710526315789475
119,1000,Advesarial,0.35735735735735735
120,100,Retrain,0.8862781954887218
121,100,Benign,0.6240601503759399
122,100,Advesarial,0.46846846846846846
123,200,Retrain,0.8862781954887218
124,200,Benign,0.6099624060150376
125,200,Advesarial,0.5795795795795796
126,400,Retrain,0.8862781954887218
127,400,Benign,0.5488721804511278
128,400,Advesarial,0.46396396396396394
129,800,Retrain,0.8862781954887218
130,800,Benign,0.6870300751879699
131,800,Advesarial,0.5180180180180181
132,1000,Retrain,0.8862781954887218
133,1000,Benign,0.4699248120300752
134,1000,Advesarial,0.56006006006006
135,100,Retrain,0.8914473684210527
136,100,Benign,0.6715225563909775
137,100,Advesarial,0.5915915915915916
138,200,Retrain,0.8914473684210527
139,200,Benign,0.6480263157894737
140,200,Advesarial,0.37987987987987987
141,400,Retrain,0.8914473684210527
142,400,Benign,0.6588345864661654
143,400,Advesarial,0.3003003003003003
144,800,Retrain,0.8914473684210527
145,800,Benign,0.6804511278195489
146,800,Advesarial,0.512012012012012
147,1000,Retrain,0.8914473684210527
148,1000,Benign,0.6781015037593985
149,1000,Advesarial,0.536036036036036
