,# edges,setting,accuracy
0,100,Retrain,0.9636258660508084
1,100,Benign,0.9405311778290993
2,100,Advesarial,0.8284132841328413
3,200,Retrain,0.9636258660508084
4,200,Benign,0.9515011547344111
5,200,Advesarial,0.8302583025830258
6,400,Retrain,0.9636258660508084
7,400,Benign,0.9509237875288684
8,400,Advesarial,0.8228782287822878
9,800,Retrain,0.9636258660508084
10,800,Benign,0.9428406466512702
11,800,Advesarial,0.8154981549815498
12,1000,Retrain,0.9636258660508084
13,1000,Benign,0.9376443418013857
14,1000,Advesarial,0.7988929889298892
15,100,Retrain,0.9590069284064665
16,100,Benign,0.9168591224018475
17,100,Advesarial,0.8339483394833949
18,200,Retrain,0.9590069284064665
19,200,Benign,0.9503464203233256
20,200,Advesarial,0.8357933579335793
21,400,Retrain,0.9590069284064665
22,400,Benign,0.9439953810623557
23,400,Advesarial,0.8321033210332104
24,800,Retrain,0.9590069284064665
25,800,Benign,0.9364896073903002
26,800,Advesarial,0.8210332103321033
27,1000,Retrain,0.9590069284064665
28,1000,Benign,0.9018475750577367
29,1000,Advesarial,0.8247232472324724
30,100,Retrain,0.9572748267898383
31,100,Benign,0.9497690531177829
32,100,Advesarial,0.8339483394833949
33,200,Retrain,0.9572748267898383
34,200,Benign,0.9197459584295612
35,200,Advesarial,0.8357933579335793
36,400,Retrain,0.9572748267898383
37,400,Benign,0.930715935334873
38,400,Advesarial,0.8339483394833949
39,800,Retrain,0.9572748267898383
40,800,Benign,0.9584295612009238
41,800,Advesarial,0.8099630996309963
42,1000,Retrain,0.9572748267898383
43,1000,Benign,0.9532332563510393
44,1000,Advesarial,0.8339483394833949
45,100,Retrain,0.9630484988452656
46,100,Benign,0.9515011547344111
47,100,Advesarial,0.8376383763837638
48,200,Retrain,0.9630484988452656
49,200,Benign,0.9157043879907621
50,200,Advesarial,0.8321033210332104
51,400,Retrain,0.9630484988452656
52,400,Benign,0.9561200923787528
53,400,Advesarial,0.8302583025830258
54,800,Retrain,0.9630484988452656
55,800,Benign,0.6293302540415704
56,800,Advesarial,0.8154981549815498
57,1000,Retrain,0.9630484988452656
58,1000,Benign,0.9162817551963048
59,1000,Advesarial,0.8210332103321033
60,100,Retrain,0.9705542725173211
61,100,Benign,0.9520785219399538
62,100,Advesarial,0.7878228782287823
63,200,Retrain,0.9705542725173211
64,200,Benign,0.9486143187066974
65,200,Advesarial,0.8173431734317343
66,400,Retrain,0.9705542725173211
67,400,Benign,0.9486143187066974
68,400,Advesarial,0.8284132841328413
69,800,Retrain,0.9705542725173211
70,800,Benign,0.9266743648960739
71,800,Advesarial,0.8228782287822878
72,1000,Retrain,0.9705542725173211
73,1000,Benign,0.9364896073903002
74,1000,Advesarial,0.8081180811808119
75,100,Retrain,0.9688221709006929
76,100,Benign,0.9312933025404158
77,100,Advesarial,0.8487084870848709
78,200,Retrain,0.9688221709006929
79,200,Benign,0.9509237875288684
80,200,Advesarial,0.8284132841328413
81,400,Retrain,0.9688221709006929
82,400,Benign,0.9474595842956121
83,400,Advesarial,0.8321033210332104
84,800,Retrain,0.9688221709006929
85,800,Benign,0.9284064665127021
86,800,Advesarial,0.8081180811808119
87,1000,Retrain,0.9688221709006929
88,1000,Benign,0.9278290993071594
89,1000,Advesarial,0.8044280442804428
90,100,Retrain,0.9659353348729792
91,100,Benign,0.9491916859122402
92,100,Advesarial,0.8450184501845018
93,200,Retrain,0.9659353348729792
94,200,Benign,0.9515011547344111
95,200,Advesarial,0.8376383763837638
96,400,Retrain,0.9659353348729792
97,400,Benign,0.9532332563510393
98,400,Advesarial,0.8431734317343174
99,800,Retrain,0.9659353348729792
100,800,Benign,0.9434180138568129
101,800,Advesarial,0.8210332103321033
102,1000,Retrain,0.9659353348729792
103,1000,Benign,0.9445727482678984
104,1000,Advesarial,0.8154981549815498
105,100,Retrain,0.9613163972286374
106,100,Benign,0.953810623556582
107,100,Advesarial,0.8228782287822878
108,200,Retrain,0.9613163972286374
109,200,Benign,0.9503464203233256
110,200,Advesarial,0.8247232472324724
111,400,Retrain,0.9613163972286374
112,400,Benign,0.9382217090069284
113,400,Advesarial,0.8247232472324724
114,800,Retrain,0.9613163972286374
115,800,Benign,0.9439953810623557
116,800,Advesarial,0.8062730627306273
117,1000,Retrain,0.9613163972286374
118,1000,Benign,0.941108545034642
119,1000,Advesarial,0.8099630996309963
120,100,Retrain,0.9688221709006929
121,100,Benign,0.9526558891454965
122,100,Advesarial,0.8321033210332104
123,200,Retrain,0.9688221709006929
124,200,Benign,0.9509237875288684
125,200,Advesarial,0.8468634686346863
126,400,Retrain,0.9688221709006929
127,400,Benign,0.9336027713625866
128,400,Advesarial,0.8542435424354243
129,800,Retrain,0.9688221709006929
130,800,Benign,0.9168591224018475
131,800,Advesarial,0.8413284132841329
132,1000,Retrain,0.9688221709006929
133,1000,Benign,0.9070438799076213
134,1000,Advesarial,0.8247232472324724
135,100,Retrain,0.9595842956120092
136,100,Benign,0.9520785219399538
137,100,Advesarial,0.8487084870848709
138,200,Retrain,0.9595842956120092
139,200,Benign,0.9428406466512702
140,200,Advesarial,0.8450184501845018
141,400,Retrain,0.9595842956120092
142,400,Benign,0.9387990762124712
143,400,Advesarial,0.8394833948339483
144,800,Retrain,0.9595842956120092
145,800,Benign,0.9434180138568129
146,800,Advesarial,0.8394833948339483
147,1000,Retrain,0.9595842956120092
148,1000,Benign,0.9515011547344111
149,1000,Advesarial,0.8118081180811808
