,# edges,setting,accuracy
0,100,Retrain,0.9647806004618937
1,100,Benign,0.8874133949191686
2,100,Advesarial,0.8210332103321033
3,200,Retrain,0.9647806004618937
4,200,Benign,0.937066974595843
5,200,Advesarial,0.8247232472324724
6,400,Retrain,0.9647806004618937
7,400,Benign,0.8747113163972287
8,400,Advesarial,0.8265682656826568
9,800,Retrain,0.9647806004618937
10,800,Benign,0.934757505773672
11,800,Advesarial,0.8321033210332104
12,1000,Retrain,0.9647806004618937
13,1000,Benign,0.9093533487297921
14,1000,Advesarial,0.8025830258302583
15,100,Retrain,0.9590069284064665
16,100,Benign,0.9457274826789839
17,100,Advesarial,0.8302583025830258
18,200,Retrain,0.9590069284064665
19,200,Benign,0.9087759815242494
20,200,Advesarial,0.8321033210332104
21,400,Retrain,0.9590069284064665
22,400,Benign,0.9318706697459584
23,400,Advesarial,0.8302583025830258
24,800,Retrain,0.9590069284064665
25,800,Benign,0.9336027713625866
26,800,Advesarial,0.8136531365313653
27,1000,Retrain,0.9590069284064665
28,1000,Benign,0.8804849884526559
29,1000,Advesarial,0.8007380073800738
30,100,Retrain,0.9653579676674365
31,100,Benign,0.9428406466512702
32,100,Advesarial,0.8136531365313653
33,200,Retrain,0.9653579676674365
34,200,Benign,0.9474595842956121
35,200,Advesarial,0.7804428044280443
36,400,Retrain,0.9653579676674365
37,400,Benign,0.9457274826789839
38,400,Advesarial,0.8099630996309963
39,800,Retrain,0.9653579676674365
40,800,Benign,0.9399538106235565
41,800,Advesarial,0.7767527675276753
42,1000,Retrain,0.9653579676674365
43,1000,Benign,0.9439953810623557
44,1000,Advesarial,0.7767527675276753
45,100,Retrain,0.9607390300230947
46,100,Benign,0.8845265588914549
47,100,Advesarial,0.8191881918819188
48,200,Retrain,0.9607390300230947
49,200,Benign,0.9439953810623557
50,200,Advesarial,0.8247232472324724
51,400,Retrain,0.9607390300230947
52,400,Benign,0.9457274826789839
53,400,Advesarial,0.8154981549815498
54,800,Retrain,0.9607390300230947
55,800,Benign,0.9197459584295612
56,800,Advesarial,0.7859778597785978
57,1000,Retrain,0.9607390300230947
58,1000,Benign,0.8856812933025404
59,1000,Advesarial,0.8210332103321033
60,100,Retrain,0.9682448036951501
61,100,Benign,0.9439953810623557
62,100,Advesarial,0.8062730627306273
63,200,Retrain,0.9682448036951501
64,200,Benign,0.9434180138568129
65,200,Advesarial,0.8062730627306273
66,400,Retrain,0.9682448036951501
67,400,Benign,0.9393764434180139
68,400,Advesarial,0.7970479704797048
69,800,Retrain,0.9682448036951501
70,800,Benign,0.8978060046189377
71,800,Advesarial,0.7933579335793358
72,1000,Retrain,0.9682448036951501
73,1000,Benign,0.937066974595843
74,1000,Advesarial,0.8191881918819188
75,100,Retrain,0.9636258660508084
76,100,Benign,0.9353348729792148
77,100,Advesarial,0.7730627306273062
78,200,Retrain,0.9636258660508084
79,200,Benign,0.9428406466512702
80,200,Advesarial,0.8173431734317343
81,400,Retrain,0.9636258660508084
82,400,Benign,0.8897228637413395
83,400,Advesarial,0.7822878228782287
84,800,Retrain,0.9636258660508084
85,800,Benign,0.9070438799076213
86,800,Advesarial,0.8136531365313653
87,1000,Retrain,0.9636258660508084
88,1000,Benign,0.9237875288683602
89,1000,Advesarial,0.6826568265682657
90,100,Retrain,0.9659353348729792
91,100,Benign,0.9336027713625866
92,100,Advesarial,0.7878228782287823
93,200,Retrain,0.9659353348729792
94,200,Benign,0.9122401847575058
95,200,Advesarial,0.8136531365313653
96,400,Retrain,0.9659353348729792
97,400,Benign,0.9209006928406467
98,400,Advesarial,0.8044280442804428
99,800,Retrain,0.9659353348729792
100,800,Benign,0.9336027713625866
101,800,Advesarial,0.8247232472324724
102,1000,Retrain,0.9659353348729792
103,1000,Benign,0.9284064665127021
104,1000,Advesarial,0.8136531365313653
105,100,Retrain,0.9659353348729792
106,100,Benign,0.9422632794457275
107,100,Advesarial,0.8191881918819188
108,200,Retrain,0.9659353348729792
109,200,Benign,0.9284064665127021
110,200,Advesarial,0.8247232472324724
111,400,Retrain,0.9659353348729792
112,400,Benign,0.9451501154734411
113,400,Advesarial,0.7952029520295203
114,800,Retrain,0.9659353348729792
115,800,Benign,0.9393764434180139
116,800,Advesarial,0.8136531365313653
117,1000,Retrain,0.9659353348729792
118,1000,Benign,0.9249422632794457
119,1000,Advesarial,0.8062730627306273
120,100,Retrain,0.9699769053117783
121,100,Benign,0.9168591224018475
122,100,Advesarial,0.8191881918819188
123,200,Retrain,0.9699769053117783
124,200,Benign,0.9445727482678984
125,200,Advesarial,0.8210332103321033
126,400,Retrain,0.9699769053117783
127,400,Benign,0.8827944572748267
128,400,Advesarial,0.8136531365313653
129,800,Retrain,0.9699769053117783
130,800,Benign,0.9018475750577367
131,800,Advesarial,0.8062730627306273
132,1000,Retrain,0.9699769053117783
133,1000,Benign,0.9336027713625866
134,1000,Advesarial,0.8284132841328413
135,100,Retrain,0.9647806004618937
136,100,Benign,0.9070438799076213
137,100,Advesarial,0.8191881918819188
138,200,Retrain,0.9647806004618937
139,200,Benign,0.9439953810623557
140,200,Advesarial,0.8191881918819188
141,400,Retrain,0.9647806004618937
142,400,Benign,0.9376443418013857
143,400,Advesarial,0.8118081180811808
144,800,Retrain,0.9647806004618937
145,800,Benign,0.9457274826789839
146,800,Advesarial,0.8118081180811808
147,1000,Retrain,0.9647806004618937
148,1000,Benign,0.934757505773672
149,1000,Advesarial,0.7767527675276753
