,# edges,setting,Accuracy
0,200,random-R,0.6636636636636637
1,400,random-R,0.6591591591591591
2,600,random-R,0.6576576576576577
3,800,random-R,0.6516516516516516
4,1000,random-R,0.6741741741741741
5,1200,random-R,0.6816816816816816
6,1400,random-R,0.6636636636636637
7,1600,random-R,0.6576576576576577
8,1800,random-R,0.6261261261261262
9,2000,random-R,0.6366366366366366
10,200,random-U,0.6816816816816816
11,400,random-U,0.6801801801801802
12,600,random-U,0.6801801801801802
13,800,random-U,0.6771771771771772
14,1000,random-U,0.6756756756756757
15,1200,random-U,0.6711711711711712
16,1400,random-U,0.6681681681681682
17,1600,random-U,0.6861861861861862
18,1800,random-U,0.6876876876876877
19,2000,random-U,0.6831831831831832
20,200,max-degree-R,0.6741741741741741
21,400,max-degree-R,0.6951951951951952
22,600,max-degree-R,0.6756756756756757
23,800,max-degree-R,0.6876876876876877
24,1000,max-degree-R,0.6786786786786787
25,1200,max-degree-R,0.6651651651651652
26,1400,max-degree-R,0.6456456456456456
27,1600,max-degree-R,0.6591591591591591
28,1800,max-degree-R,0.6501501501501501
29,2000,max-degree-R,0.6501501501501501
30,200,max-degree-U,0.6816816816816816
31,400,max-degree-U,0.6981981981981982
32,600,max-degree-U,0.6981981981981982
33,800,max-degree-U,0.6951951951951952
34,1000,max-degree-U,0.6966966966966966
35,1200,max-degree-U,0.6921921921921922
36,1400,max-degree-U,0.6921921921921922
37,1600,max-degree-U,0.6861861861861862
38,1800,max-degree-U,0.6846846846846847
39,2000,max-degree-U,0.6861861861861862
40,200,min-degree-R,0.6786786786786787
41,400,min-degree-R,0.6576576576576577
42,600,min-degree-R,0.6156156156156156
43,800,min-degree-R,0.6036036036036037
44,1000,min-degree-R,0.6141141141141141
45,1200,min-degree-R,0.6216216216216216
46,1400,min-degree-R,0.5690690690690691
47,1600,min-degree-R,0.5975975975975976
48,1800,min-degree-R,0.5585585585585585
49,2000,min-degree-R,0.545045045045045
50,200,min-degree-U,0.6861861861861862
51,400,min-degree-U,0.6891891891891891
52,600,min-degree-U,0.6831831831831832
53,800,min-degree-U,0.6816816816816816
54,1000,min-degree-U,0.6801801801801802
55,1200,min-degree-U,0.6711711711711712
56,1400,min-degree-U,0.6726726726726727
57,1600,min-degree-U,0.6666666666666666
58,1800,min-degree-U,0.6861861861861862
59,2000,min-degree-U,0.6861861861861862
60,200,saliency-R,0.7087087087087087
61,400,saliency-R,0.6996996996996997
62,600,saliency-R,0.6831831831831832
63,800,saliency-R,0.6876876876876877
64,1000,saliency-R,0.6981981981981982
65,1200,saliency-R,0.6921921921921922
66,1400,saliency-R,0.6831831831831832
67,1600,saliency-R,0.6891891891891891
68,1800,saliency-R,0.7057057057057057
69,2000,saliency-R,0.6846846846846847
70,200,saliency-U,0.6861861861861862
71,400,saliency-U,0.6861861861861862
72,600,saliency-U,0.6861861861861862
73,800,saliency-U,0.6861861861861862
74,1000,saliency-U,0.6861861861861862
75,1200,saliency-U,0.6861861861861862
76,1400,saliency-U,0.6861861861861862
77,1600,saliency-U,0.6861861861861862
78,1800,saliency-U,0.6861861861861862
79,2000,saliency-U,0.6861861861861862
