,# edges,setting,Accuracy
0,200,random-R,0.6786786786786787
1,400,random-R,0.6966966966966966
2,600,random-R,0.6951951951951952
3,800,random-R,0.6651651651651652
4,1000,random-R,0.6591591591591591
5,1200,random-R,0.6516516516516516
6,1400,random-R,0.6411411411411412
7,1600,random-R,0.6636636636636637
8,1800,random-R,0.6651651651651652
9,2000,random-R,0.6456456456456456
10,200,random-U,0.6996996996996997
11,400,random-U,0.6891891891891891
12,600,random-U,0.6936936936936937
13,800,random-U,0.6876876876876877
14,1000,random-U,0.6846846846846847
15,1200,random-U,0.6756756756756757
16,1400,random-U,0.6756756756756757
17,1600,random-U,0.6726726726726727
18,1800,random-U,0.6696696696696697
19,2000,random-U,0.6681681681681682
20,200,max-degree-R,0.6846846846846847
21,400,max-degree-R,0.6921921921921922
22,600,max-degree-R,0.7042042042042042
23,800,max-degree-R,0.6921921921921922
24,1000,max-degree-R,0.6846846846846847
25,1200,max-degree-R,0.6876876876876877
26,1400,max-degree-R,0.6801801801801802
27,1600,max-degree-R,0.6846846846846847
28,1800,max-degree-R,0.6861861861861862
29,2000,max-degree-R,0.6696696696696697
30,200,max-degree-U,0.6996996996996997
31,400,max-degree-U,0.7012012012012012
32,600,max-degree-U,0.6966966966966966
33,800,max-degree-U,0.6906906906906907
34,1000,max-degree-U,0.6906906906906907
35,1200,max-degree-U,0.6906906906906907
36,1400,max-degree-U,0.6876876876876877
37,1600,max-degree-U,0.6906906906906907
38,1800,max-degree-U,0.6966966966966966
39,2000,max-degree-U,0.6846846846846847
40,200,min-degree-R,0.6816816816816816
41,400,min-degree-R,0.6621621621621622
42,600,min-degree-R,0.6291291291291291
43,800,min-degree-R,0.6411411411411412
44,1000,min-degree-R,0.6411411411411412
45,1200,min-degree-R,0.5960960960960962
46,1400,min-degree-R,0.6216216216216216
47,1600,min-degree-R,0.5645645645645646
48,1800,min-degree-R,0.5480480480480481
49,2000,min-degree-R,0.53003003003003
50,200,min-degree-U,0.7012012012012012
51,400,min-degree-U,0.6981981981981982
52,600,min-degree-U,0.6921921921921922
53,800,min-degree-U,0.6846846846846847
54,1000,min-degree-U,0.6846846846846847
55,1200,min-degree-U,0.6771771771771772
56,1400,min-degree-U,0.6741741741741741
57,1600,min-degree-U,0.6771771771771772
58,1800,min-degree-U,0.6666666666666666
59,2000,min-degree-U,0.6666666666666666
60,200,saliency-R,0.7117117117117117
61,400,saliency-R,0.7117117117117117
62,600,saliency-R,0.7117117117117117
63,800,saliency-R,0.7012012012012012
64,1000,saliency-R,0.6921921921921922
65,1200,saliency-R,0.6951951951951952
66,1400,saliency-R,0.7087087087087087
67,1600,saliency-R,0.7102102102102102
68,1800,saliency-R,0.7132132132132132
69,2000,saliency-R,0.6966966966966966
70,200,saliency-U,0.7147147147147147
71,400,saliency-U,0.7147147147147147
72,600,saliency-U,0.7132132132132132
73,800,saliency-U,0.7132132132132132
74,1000,saliency-U,0.7132132132132132
75,1200,saliency-U,0.7117117117117117
76,1400,saliency-U,0.7102102102102102
77,1600,saliency-U,0.7102102102102102
78,1800,saliency-U,0.7102102102102102
79,2000,saliency-U,0.7102102102102102
