,# edges,setting,Accuracy
0,200,random-R,0.8523489932885906
1,400,random-R,0.8523489932885906
2,600,random-R,0.8523489932885906
3,800,random-R,0.8523489932885906
4,1000,random-R,0.8523489932885906
5,1200,random-R,0.8489932885906041
6,1400,random-R,0.8422818791946308
7,1600,random-R,0.8489932885906041
8,1800,random-R,0.8489932885906041
9,2000,random-R,0.8489932885906041
10,200,random-U,0.8456375838926175
11,400,random-U,0.8456375838926175
12,600,random-U,0.8389261744966443
13,800,random-U,0.8456375838926175
14,1000,random-U,0.8456375838926175
15,1200,random-U,0.8456375838926175
16,1400,random-U,0.8489932885906041
17,1600,random-U,0.8489932885906041
18,1800,random-U,0.8489932885906041
19,2000,random-U,0.8489932885906041
20,200,max-degree-R,0.8489932885906041
21,400,max-degree-R,0.8523489932885906
22,600,max-degree-R,0.8523489932885906
23,800,max-degree-R,0.8523489932885906
24,1000,max-degree-R,0.8557046979865772
25,1200,max-degree-R,0.8489932885906041
26,1400,max-degree-R,0.8523489932885906
27,1600,max-degree-R,0.8456375838926175
28,1800,max-degree-R,0.8489932885906041
29,2000,max-degree-R,0.8489932885906041
30,200,max-degree-U,0.8456375838926175
31,400,max-degree-U,0.8456375838926175
32,600,max-degree-U,0.8422818791946308
33,800,max-degree-U,0.8456375838926175
34,1000,max-degree-U,0.8456375838926175
35,1200,max-degree-U,0.8456375838926175
36,1400,max-degree-U,0.8523489932885906
37,1600,max-degree-U,0.8523489932885906
38,1800,max-degree-U,0.8523489932885906
39,2000,max-degree-U,0.8523489932885906
40,200,min-degree-R,0.8456375838926175
41,400,min-degree-R,0.8389261744966443
42,600,min-degree-R,0.8389261744966443
43,800,min-degree-R,0.8389261744966443
44,1000,min-degree-R,0.8322147651006712
45,1200,min-degree-R,0.8355704697986577
46,1400,min-degree-R,0.8355704697986577
47,1600,min-degree-R,0.8355704697986577
48,1800,min-degree-R,0.825503355704698
49,2000,min-degree-R,0.825503355704698
50,200,min-degree-U,0.8422818791946308
51,400,min-degree-U,0.8322147651006712
52,600,min-degree-U,0.8288590604026845
53,800,min-degree-U,0.8288590604026845
54,1000,min-degree-U,0.8288590604026845
55,1200,min-degree-U,0.8288590604026845
56,1400,min-degree-U,0.8322147651006712
57,1600,min-degree-U,0.8322147651006712
58,1800,min-degree-U,0.8221476510067114
59,2000,min-degree-U,0.8221476510067114
60,200,saliency-R,0.8523489932885906
61,400,saliency-R,0.8523489932885906
62,600,saliency-R,0.8489932885906041
63,800,saliency-R,0.8489932885906041
64,1000,saliency-R,0.8489932885906041
65,1200,saliency-R,0.8456375838926175
66,1400,saliency-R,0.8456375838926175
67,1600,saliency-R,0.8456375838926175
68,1800,saliency-R,0.8456375838926175
69,2000,saliency-R,0.8456375838926175
70,200,saliency-U,0.8456375838926175
71,400,saliency-U,0.8456375838926175
72,600,saliency-U,0.8456375838926175
73,800,saliency-U,0.8456375838926175
74,1000,saliency-U,0.8456375838926175
75,1200,saliency-U,0.8456375838926175
76,1400,saliency-U,0.8456375838926175
77,1600,saliency-U,0.8456375838926175
78,1800,saliency-U,0.8456375838926175
79,2000,saliency-U,0.8456375838926175
