,# edges,setting,Accuracy
0,200,random-R,0.6876876876876877
1,400,random-R,0.6786786786786787
2,600,random-R,0.6951951951951952
3,800,random-R,0.6546546546546547
4,1000,random-R,0.6156156156156156
5,1200,random-R,0.6666666666666666
6,1400,random-R,0.6531531531531531
7,1600,random-R,0.6546546546546547
8,1800,random-R,0.6456456456456456
9,2000,random-R,0.6186186186186187
10,200,random-U,0.6486486486486487
11,400,random-U,0.6381381381381381
12,600,random-U,0.6246246246246246
13,800,random-U,0.6186186186186187
14,1000,random-U,0.5990990990990991
15,1200,random-U,0.5885885885885885
16,1400,random-U,0.5705705705705706
17,1600,random-U,0.5495495495495496
18,1800,random-U,0.539039039039039
19,2000,random-U,0.512012012012012
20,200,max-degree-R,0.7072072072072072
21,400,max-degree-R,0.6741741741741741
22,600,max-degree-R,0.6906906906906907
23,800,max-degree-R,0.6921921921921922
24,1000,max-degree-R,0.6636636636636637
25,1200,max-degree-R,0.6801801801801802
26,1400,max-degree-R,0.6696696696696697
27,1600,max-degree-R,0.6531531531531531
28,1800,max-degree-R,0.6711711711711712
29,2000,max-degree-R,0.6591591591591591
30,200,max-degree-U,0.6081081081081081
31,400,max-degree-U,0.5915915915915916
32,600,max-degree-U,0.5735735735735735
33,800,max-degree-U,0.5540540540540541
34,1000,max-degree-U,0.5480480480480481
35,1200,max-degree-U,0.524024024024024
36,1400,max-degree-U,0.5
37,1600,max-degree-U,0.4774774774774775
38,1800,max-degree-U,0.45345345345345345
39,2000,max-degree-U,0.44744744744744747
40,200,min-degree-R,0.6681681681681682
41,400,min-degree-R,0.6636636636636637
42,600,min-degree-R,0.6516516516516516
43,800,min-degree-R,0.6126126126126126
44,1000,min-degree-R,0.6096096096096096
45,1200,min-degree-R,0.5960960960960962
46,1400,min-degree-R,0.5840840840840841
47,1600,min-degree-R,0.5615615615615616
48,1800,min-degree-R,0.5585585585585585
49,2000,min-degree-R,0.5585585585585585
50,200,min-degree-U,0.6486486486486487
51,400,min-degree-U,0.6366366366366366
52,600,min-degree-U,0.6231231231231231
53,800,min-degree-U,0.6066066066066066
54,1000,min-degree-U,0.6006006006006006
55,1200,min-degree-U,0.5780780780780781
56,1400,min-degree-U,0.5480480480480481
57,1600,min-degree-U,0.5195195195195195
58,1800,min-degree-U,0.4954954954954955
59,2000,min-degree-U,0.47597597597597596
60,200,saliency-R,0.6666666666666666
61,400,saliency-R,0.6891891891891891
62,600,saliency-R,0.6681681681681682
63,800,saliency-R,0.7027027027027027
64,1000,saliency-R,0.6861861861861862
65,1200,saliency-R,0.7162162162162162
66,1400,saliency-R,0.6786786786786787
67,1600,saliency-R,0.6966966966966966
68,1800,saliency-R,0.7027027027027027
69,2000,saliency-R,0.6861861861861862
70,200,saliency-U,0.6516516516516516
71,400,saliency-U,0.6516516516516516
72,600,saliency-U,0.6516516516516516
73,800,saliency-U,0.6516516516516516
74,1000,saliency-U,0.6516516516516516
75,1200,saliency-U,0.6516516516516516
76,1400,saliency-U,0.6516516516516516
77,1600,saliency-U,0.6516516516516516
78,1800,saliency-U,0.6516516516516516
79,2000,saliency-U,0.6516516516516516
