,# edges,setting,jsd
0,100,adv,0.030763808637857437
1,100,benign,0.029943032190203667
2,200,adv,0.030515899881720543
3,200,benign,0.03501378744840622
4,400,adv,0.02871992625296116
5,400,benign,0.031077424064278603
6,800,adv,0.05836213380098343
7,800,benign,0.025843536481261253
8,1000,adv,0.05550442263484001
9,1000,benign,0.03209836408495903
10,100,adv,0.027461783960461617
11,100,benign,0.04210928454995155
12,200,adv,0.023525597527623177
13,200,benign,0.032472919672727585
14,400,adv,0.03701099753379822
15,400,benign,0.0324723944067955
16,800,adv,0.056949324905872345
17,800,benign,0.055231157690286636
18,1000,adv,0.04295577481389046
19,1000,benign,0.03400702401995659
20,100,adv,0.029326168820261955
21,100,benign,0.039542581886053085
22,200,adv,0.0375625416636467
23,200,benign,0.05746272951364517
24,400,adv,0.04366055503487587
25,400,benign,0.022865893319249153
26,800,adv,0.06847226619720459
27,800,benign,0.06398538500070572
28,1000,adv,0.08516249805688858
29,1000,benign,0.050097912549972534
30,100,adv,0.02015363983809948
31,100,benign,0.030455267056822777
32,200,adv,0.0345938578248024
33,200,benign,0.04296597093343735
34,400,adv,0.042797185480594635
35,400,benign,0.04144170507788658
36,800,adv,0.04032289981842041
37,800,benign,0.04587738215923309
38,1000,adv,0.040677931159734726
39,1000,benign,0.04479164257645607
40,100,adv,0.03561309725046158
41,100,benign,0.04420344904065132
42,200,adv,0.03530728444457054
43,200,benign,0.02749822661280632
44,400,adv,0.03560042008757591
45,400,benign,0.037727802991867065
46,800,adv,0.04543016478419304
47,800,benign,0.03709162399172783
48,1000,adv,0.03243133798241615
49,1000,benign,0.06250892579555511
50,100,adv,0.03200982138514519
51,100,benign,0.03382165729999542
52,200,adv,0.03964674472808838
53,200,benign,0.041157640516757965
54,400,adv,0.04128280654549599
55,400,benign,0.02856985293328762
56,800,adv,0.05231020227074623
57,800,benign,0.0588519312441349
58,1000,adv,0.043873708695173264
59,1000,benign,0.040062032639980316
60,100,adv,0.020841822028160095
61,100,benign,0.035818666219711304
62,200,adv,0.03435836732387543
63,200,benign,0.02368616685271263
64,400,adv,0.03419926390051842
65,400,benign,0.04747282713651657
66,800,adv,0.06063536927103996
67,800,benign,0.04183227941393852
68,1000,adv,0.04494700953364372
69,1000,benign,0.034869011491537094
70,100,adv,0.0475478321313858
71,100,benign,0.040865711867809296
72,200,adv,0.03247002139687538
73,200,benign,0.022952847182750702
74,400,adv,0.03794499859213829
75,400,benign,0.02921689860522747
76,800,adv,0.037253402173519135
77,800,benign,0.044064681977033615
78,1000,adv,0.048395682126283646
79,1000,benign,0.053423814475536346
80,100,adv,0.0474378727376461
81,100,benign,0.0211042407900095
82,200,adv,0.016349932178854942
83,200,benign,0.025936465710401535
84,400,adv,0.036444660276174545
85,400,benign,0.03309077396988869
86,800,adv,0.044046733528375626
87,800,benign,0.03230780363082886
88,1000,adv,0.04469620808959007
89,1000,benign,0.05088406801223755
90,100,adv,0.026581471785902977
91,100,benign,0.026384171098470688
92,200,adv,0.034708037972450256
93,200,benign,0.03899247199296951
94,400,adv,0.03887948766350746
95,400,benign,0.02930019609630108
96,800,adv,0.03196470066905022
97,800,benign,0.06006462126970291
98,1000,adv,0.030431631952524185
99,1000,benign,0.04584832862019539
