,# edges,setting,jsd
0,100,adv,0.1307072937488556
1,100,benign,0.1387423276901245
2,200,adv,0.14077770709991455
3,200,benign,0.14586903154850006
4,400,adv,0.14764176309108734
5,400,benign,0.14539659023284912
6,800,adv,0.16225416958332062
7,800,benign,0.13107293844223022
8,1000,adv,0.1647041141986847
9,1000,benign,0.14376305043697357
10,100,adv,0.14236050844192505
11,100,benign,0.14494335651397705
12,200,adv,0.14417652785778046
13,200,benign,0.1283024698495865
14,400,adv,0.15233546495437622
15,400,benign,0.12554436922073364
16,800,adv,0.15414467453956604
17,800,benign,0.14312313497066498
18,1000,adv,0.1757994145154953
19,1000,benign,0.1426449567079544
20,100,adv,0.1458607167005539
21,100,benign,0.1362711787223816
22,200,adv,0.13524682819843292
23,200,benign,0.16048374772071838
24,400,adv,0.16914880275726318
25,400,benign,0.14132975041866302
26,800,adv,0.16548800468444824
27,800,benign,0.17645324766635895
28,1000,adv,0.14601974189281464
29,1000,benign,0.15802738070487976
30,100,adv,0.1347135603427887
31,100,benign,0.12496420741081238
32,200,adv,0.1285804957151413
33,200,benign,0.12845279276371002
34,400,adv,0.11026040464639664
35,400,benign,0.15203283727169037
36,800,adv,0.14492173492908478
37,800,benign,0.15754015743732452
38,1000,adv,0.14095428586006165
39,1000,benign,0.12500017881393433
40,100,adv,0.13257989287376404
41,100,benign,0.14710870385169983
42,200,adv,0.13528281450271606
43,200,benign,0.12774750590324402
44,400,adv,0.148952454328537
45,400,benign,0.13773252069950104
46,800,adv,0.16007648408412933
47,800,benign,0.15884675085544586
48,1000,adv,0.13752193748950958
49,1000,benign,0.14774224162101746
50,100,adv,0.14111687242984772
51,100,benign,0.14620907604694366
52,200,adv,0.13957519829273224
53,200,benign,0.14915168285369873
54,400,adv,0.1709970086812973
55,400,benign,0.13921765983104706
56,800,adv,0.1575077623128891
57,800,benign,0.1465483158826828
58,1000,adv,0.17024444043636322
59,1000,benign,0.12671753764152527
60,100,adv,0.18255949020385742
61,100,benign,0.1276107281446457
62,200,adv,0.12820881605148315
63,200,benign,0.1476508229970932
64,400,adv,0.15615279972553253
65,400,benign,0.16307054460048676
66,800,adv,0.1588643342256546
67,800,benign,0.1413765251636505
68,1000,adv,0.1831025332212448
69,1000,benign,0.12429175525903702
70,100,adv,0.12902940809726715
71,100,benign,0.1389632225036621
72,200,adv,0.14607203006744385
73,200,benign,0.1397382915019989
74,400,adv,0.14909911155700684
75,400,benign,0.14357244968414307
76,800,adv,0.15240415930747986
77,800,benign,0.14758552610874176
78,1000,adv,0.16486620903015137
79,1000,benign,0.13772232830524445
80,100,adv,0.12463613599538803
81,100,benign,0.1340400129556656
82,200,adv,0.13381293416023254
83,200,benign,0.14106139540672302
84,400,adv,0.13185851275920868
85,400,benign,0.13490933179855347
86,800,adv,0.15069729089736938
87,800,benign,0.13752833008766174
88,1000,adv,0.1439904421567917
89,1000,benign,0.13012827932834625
90,100,adv,0.15058602392673492
91,100,benign,0.15220102667808533
92,200,adv,0.14649614691734314
93,200,benign,0.13162194192409515
94,400,adv,0.1507405936717987
95,400,benign,0.13598163425922394
96,800,adv,0.15463349223136902
97,800,benign,0.15228262543678284
98,1000,adv,0.17605970799922943
99,1000,benign,0.14931055903434753
