,# edges,setting,jsd
0,100,adv,0.020889509469270706
1,100,benign,0.0198983084410429
2,200,adv,0.020365344360470772
3,200,benign,0.021165721118450165
4,400,adv,0.01963621750473976
5,400,benign,0.015612621791660786
6,800,adv,0.021099193021655083
7,800,benign,0.01685093529522419
8,1000,adv,0.02270451746881008
9,1000,benign,0.024659765884280205
10,100,adv,0.025151070207357407
11,100,benign,0.020247237756848335
12,200,adv,0.01685643196105957
13,200,benign,0.02074236050248146
14,400,adv,0.018998201936483383
15,400,benign,0.02092786878347397
16,800,adv,0.028201786801218987
17,800,benign,0.023318849503993988
18,1000,adv,0.02391080930829048
19,1000,benign,0.022649109363555908
20,100,adv,0.01827925629913807
21,100,benign,0.02049143612384796
22,200,adv,0.017050502821803093
23,200,benign,0.02107279561460018
24,400,adv,0.018548633903265
25,400,benign,0.014542744494974613
26,800,adv,0.021788135170936584
27,800,benign,0.02301827259361744
28,1000,adv,0.02651146985590458
29,1000,benign,0.021436400711536407
30,100,adv,0.02175195701420307
31,100,benign,0.024629341438412666
32,200,adv,0.02504553832113743
33,200,benign,0.019893014803528786
34,400,adv,0.01819602958858013
35,400,benign,0.01770208217203617
36,800,adv,0.027275463566184044
37,800,benign,0.030539395287632942
38,1000,adv,0.03348863124847412
39,1000,benign,0.015368478372693062
40,100,adv,0.027813700959086418
41,100,benign,0.014251230284571648
42,200,adv,0.02367241121828556
43,200,benign,0.017495393753051758
44,400,adv,0.022111529484391212
45,400,benign,0.018417315557599068
46,800,adv,0.03067178651690483
47,800,benign,0.02095242403447628
48,1000,adv,0.03656558692455292
49,1000,benign,0.02313092350959778
50,100,adv,0.022880788892507553
51,100,benign,0.017042994499206543
52,200,adv,0.03214682266116142
53,200,benign,0.020234104245901108
54,400,adv,0.025659790262579918
55,400,benign,0.025064414367079735
56,800,adv,0.018751099705696106
57,800,benign,0.019256679341197014
58,1000,adv,0.025540513917803764
59,1000,benign,0.028142275288701057
60,100,adv,0.010886920616030693
61,100,benign,0.018268205225467682
62,200,adv,0.018529923632740974
63,200,benign,0.016086578369140625
64,400,adv,0.0267636738717556
65,400,benign,0.01716584339737892
66,800,adv,0.025452693924307823
67,800,benign,0.026075920090079308
68,1000,adv,0.036581020802259445
69,1000,benign,0.03073015809059143
70,100,adv,0.016593148931860924
71,100,benign,0.01977429911494255
72,200,adv,0.01972821354866028
73,200,benign,0.013329749926924706
74,400,adv,0.02550416626036167
75,400,benign,0.017947327345609665
76,800,adv,0.020888730883598328
77,800,benign,0.02382543869316578
78,1000,adv,0.025493593886494637
79,1000,benign,0.028315015137195587
80,100,adv,0.015015712939202785
81,100,benign,0.012387308292090893
82,200,adv,0.019745372235774994
83,200,benign,0.01288478821516037
84,400,adv,0.03032461553812027
85,400,benign,0.01958484947681427
86,800,adv,0.017428597435355186
87,800,benign,0.018960105255246162
88,1000,adv,0.021926958113908768
89,1000,benign,0.02223309874534607
90,100,adv,0.016684893518686295
91,100,benign,0.012979422695934772
92,200,adv,0.018292082473635674
93,200,benign,0.015197313390672207
94,400,adv,0.026292691007256508
95,400,benign,0.01779109053313732
96,800,adv,0.0265960693359375
97,800,benign,0.02661968767642975
98,1000,adv,0.02700399048626423
99,1000,benign,0.025363381952047348
