,# edges,setting,jsd
0,100,adv,0.08555801957845688
1,100,benign,0.07801628112792969
2,200,adv,0.08195319026708603
3,200,benign,0.08998923003673553
4,400,adv,0.09379269182682037
5,400,benign,0.11271872371435165
6,800,adv,0.1051812693476677
7,800,benign,0.08413556218147278
8,1000,adv,0.07343942672014236
9,1000,benign,0.06953221559524536
10,100,adv,0.09780102968215942
11,100,benign,0.058131005614995956
12,200,adv,0.0984712541103363
13,200,benign,0.08086401224136353
14,400,adv,0.10815174877643585
15,400,benign,0.06503531336784363
16,800,adv,0.06503143906593323
17,800,benign,0.05606117844581604
18,1000,adv,0.09325457364320755
19,1000,benign,0.08080249279737473
20,100,adv,0.07845846563577652
21,100,benign,0.06657102704048157
22,200,adv,0.09332329034805298
23,200,benign,0.10839945077896118
24,400,adv,0.09237939119338989
25,400,benign,0.07411354780197144
26,800,adv,0.10672382265329361
27,800,benign,0.07554567605257034
28,1000,adv,0.09837723523378372
29,1000,benign,0.08278601616621017
30,100,adv,0.0791381448507309
31,100,benign,0.09632664173841476
32,200,adv,0.09412401169538498
33,200,benign,0.07349546253681183
34,400,adv,0.07774551957845688
35,400,benign,0.10317812860012054
36,800,adv,0.0855662003159523
37,800,benign,0.04089656472206116
38,1000,adv,0.07990898191928864
39,1000,benign,0.05097896233201027
40,100,adv,0.08395852148532867
41,100,benign,0.08925643563270569
42,200,adv,0.08493338525295258
43,200,benign,0.10081899911165237
44,400,adv,0.08774912357330322
45,400,benign,0.07660772651433945
46,800,adv,0.09186182171106339
47,800,benign,0.06224847957491875
48,1000,adv,0.11671580374240875
49,1000,benign,0.08538805693387985
50,100,adv,0.0873214527964592
51,100,benign,0.0909038558602333
52,200,adv,0.07262919098138809
53,200,benign,0.07516257464885712
54,400,adv,0.08936948329210281
55,400,benign,0.07549160718917847
56,800,adv,0.09310553222894669
57,800,benign,0.06110134720802307
58,1000,adv,0.10558544844388962
59,1000,benign,0.04528070613741875
60,100,adv,0.0731998085975647
61,100,benign,0.08972839266061783
62,200,adv,0.07197925448417664
63,200,benign,0.07634466886520386
64,400,adv,0.10498649626970291
65,400,benign,0.08617473393678665
66,800,adv,0.08597635477781296
67,800,benign,0.08816060423851013
68,1000,adv,0.08993302285671234
69,1000,benign,0.08073120564222336
70,100,adv,0.07949619740247726
71,100,benign,0.07760008424520493
72,200,adv,0.08910008519887924
73,200,benign,0.08094970136880875
74,400,adv,0.1139260083436966
75,400,benign,0.08860229700803757
76,800,adv,0.07527600973844528
77,800,benign,0.08996809273958206
78,1000,adv,0.07654651254415512
79,1000,benign,0.050557006150484085
80,100,adv,0.09803569316864014
81,100,benign,0.07289476692676544
82,200,adv,0.09875418245792389
83,200,benign,0.07697644829750061
84,400,adv,0.10753976553678513
85,400,benign,0.07064194977283478
86,800,adv,0.08544588088989258
87,800,benign,0.05889351665973663
88,1000,adv,0.10189465433359146
89,1000,benign,0.06180864945054054
90,100,adv,0.07485641539096832
91,100,benign,0.07842401415109634
92,200,adv,0.09202396869659424
93,200,benign,0.08318673074245453
94,400,adv,0.09308835864067078
95,400,benign,0.07968377321958542
96,800,adv,0.07618841528892517
97,800,benign,0.03718264773488045
98,1000,adv,0.08249598741531372
99,1000,benign,0.09275811910629272
