,# edges,setting,Accuracy
0,200,random-R,0.8557046979865772
1,400,random-R,0.8590604026845637
2,600,random-R,0.8489932885906041
3,800,random-R,0.8624161073825504
4,1000,random-R,0.8557046979865772
5,1200,random-R,0.8489932885906041
6,1400,random-R,0.8624161073825504
7,1600,random-R,0.8657718120805369
8,1800,random-R,0.8523489932885906
9,2000,random-R,0.8590604026845637
10,200,random-U,0.8557046979865772
11,400,random-U,0.8557046979865772
12,600,random-U,0.8557046979865772
13,800,random-U,0.8557046979865772
14,1000,random-U,0.8557046979865772
15,1200,random-U,0.8523489932885906
16,1400,random-U,0.8523489932885906
17,1600,random-U,0.8523489932885906
18,1800,random-U,0.8557046979865772
19,2000,random-U,0.8557046979865772
20,200,max-degree-R,0.8657718120805369
21,400,max-degree-R,0.8624161073825504
22,600,max-degree-R,0.8489932885906041
23,800,max-degree-R,0.8456375838926175
24,1000,max-degree-R,0.8523489932885906
25,1200,max-degree-R,0.8557046979865772
26,1400,max-degree-R,0.8422818791946308
27,1600,max-degree-R,0.8523489932885906
28,1800,max-degree-R,0.8523489932885906
29,2000,max-degree-R,0.8456375838926175
30,200,max-degree-U,0.8624161073825504
31,400,max-degree-U,0.8590604026845637
32,600,max-degree-U,0.8590604026845637
33,800,max-degree-U,0.8590604026845637
34,1000,max-degree-U,0.8624161073825504
35,1200,max-degree-U,0.8590604026845637
36,1400,max-degree-U,0.8624161073825504
37,1600,max-degree-U,0.8590604026845637
38,1800,max-degree-U,0.8590604026845637
39,2000,max-degree-U,0.8590604026845637
40,200,min-degree-R,0.8624161073825504
41,400,min-degree-R,0.8523489932885906
42,600,min-degree-R,0.8590604026845637
43,800,min-degree-R,0.8489932885906041
44,1000,min-degree-R,0.8557046979865772
45,1200,min-degree-R,0.8657718120805369
46,1400,min-degree-R,0.8389261744966443
47,1600,min-degree-R,0.8657718120805369
48,1800,min-degree-R,0.8691275167785235
49,2000,min-degree-R,0.8624161073825504
50,200,min-degree-U,0.8523489932885906
51,400,min-degree-U,0.8523489932885906
52,600,min-degree-U,0.8523489932885906
53,800,min-degree-U,0.8523489932885906
54,1000,min-degree-U,0.8523489932885906
55,1200,min-degree-U,0.8557046979865772
56,1400,min-degree-U,0.8557046979865772
57,1600,min-degree-U,0.8557046979865772
58,1800,min-degree-U,0.8523489932885906
59,2000,min-degree-U,0.8523489932885906
60,200,saliency-R,0.8691275167785235
61,400,saliency-R,0.8557046979865772
62,600,saliency-R,0.8624161073825504
63,800,saliency-R,0.8758389261744967
64,1000,saliency-R,0.8624161073825504
65,1200,saliency-R,0.8590604026845637
66,1400,saliency-R,0.8590604026845637
67,1600,saliency-R,0.8489932885906041
68,1800,saliency-R,0.8523489932885906
69,2000,saliency-R,0.8456375838926175
70,200,saliency-U,0.8624161073825504
71,400,saliency-U,0.8624161073825504
72,600,saliency-U,0.8624161073825504
73,800,saliency-U,0.8624161073825504
74,1000,saliency-U,0.8624161073825504
75,1200,saliency-U,0.8624161073825504
76,1400,saliency-U,0.8624161073825504
77,1600,saliency-U,0.8624161073825504
78,1800,saliency-U,0.8624161073825504
79,2000,saliency-U,0.8590604026845637
