,# edges,setting,Accuracy
0,200,random-R,0.8624161073825504
1,400,random-R,0.8624161073825504
2,600,random-R,0.8691275167785235
3,800,random-R,0.8657718120805369
4,1000,random-R,0.8590604026845637
5,1200,random-R,0.8624161073825504
6,1400,random-R,0.8624161073825504
7,1600,random-R,0.8657718120805369
8,1800,random-R,0.8590604026845637
9,2000,random-R,0.8624161073825504
10,200,random-U,0.8624161073825504
11,400,random-U,0.8624161073825504
12,600,random-U,0.8624161073825504
13,800,random-U,0.8624161073825504
14,1000,random-U,0.8624161073825504
15,1200,random-U,0.8624161073825504
16,1400,random-U,0.8624161073825504
17,1600,random-U,0.8624161073825504
18,1800,random-U,0.8624161073825504
19,2000,random-U,0.8624161073825504
20,200,max-degree-R,0.8657718120805369
21,400,max-degree-R,0.8557046979865772
22,600,max-degree-R,0.8422818791946308
23,800,max-degree-R,0.8422818791946308
24,1000,max-degree-R,0.8422818791946308
25,1200,max-degree-R,0.8422818791946308
26,1400,max-degree-R,0.8422818791946308
27,1600,max-degree-R,0.8422818791946308
28,1800,max-degree-R,0.8422818791946308
29,2000,max-degree-R,0.8590604026845637
30,200,max-degree-U,0.8590604026845637
31,400,max-degree-U,0.8590604026845637
32,600,max-degree-U,0.8422818791946308
33,800,max-degree-U,0.8422818791946308
34,1000,max-degree-U,0.8422818791946308
35,1200,max-degree-U,0.8422818791946308
36,1400,max-degree-U,0.8422818791946308
37,1600,max-degree-U,0.8523489932885906
38,1800,max-degree-U,0.8523489932885906
39,2000,max-degree-U,0.8523489932885906
40,200,min-degree-R,0.8557046979865772
41,400,min-degree-R,0.8557046979865772
42,600,min-degree-R,0.8523489932885906
43,800,min-degree-R,0.8489932885906041
44,1000,min-degree-R,0.8523489932885906
45,1200,min-degree-R,0.8523489932885906
46,1400,min-degree-R,0.8523489932885906
47,1600,min-degree-R,0.8187919463087249
48,1800,min-degree-R,0.8489932885906041
49,2000,min-degree-R,0.8523489932885906
50,200,min-degree-U,0.8590604026845637
51,400,min-degree-U,0.8590604026845637
52,600,min-degree-U,0.8590604026845637
53,800,min-degree-U,0.8389261744966443
54,1000,min-degree-U,0.8389261744966443
55,1200,min-degree-U,0.8355704697986577
56,1400,min-degree-U,0.8288590604026845
57,1600,min-degree-U,0.8288590604026845
58,1800,min-degree-U,0.8187919463087249
59,2000,min-degree-U,0.8187919463087249
60,200,saliency-R,0.8590604026845637
61,400,saliency-R,0.8590604026845637
62,600,saliency-R,0.8590604026845637
63,800,saliency-R,0.8590604026845637
64,1000,saliency-R,0.8590604026845637
65,1200,saliency-R,0.8590604026845637
66,1400,saliency-R,0.8590604026845637
67,1600,saliency-R,0.8657718120805369
68,1800,saliency-R,0.8590604026845637
69,2000,saliency-R,0.8590604026845637
70,200,saliency-U,0.8590604026845637
71,400,saliency-U,0.8590604026845637
72,600,saliency-U,0.8590604026845637
73,800,saliency-U,0.8590604026845637
74,1000,saliency-U,0.8590604026845637
75,1200,saliency-U,0.8590604026845637
76,1400,saliency-U,0.8590604026845637
77,1600,saliency-U,0.8590604026845637
78,1800,saliency-U,0.8590604026845637
79,2000,saliency-U,0.8590604026845637
