,# edges,setting,Accuracy
0,200,random-R,0.8523489932885906
1,400,random-R,0.8657718120805369
2,600,random-R,0.8590604026845637
3,800,random-R,0.8691275167785235
4,1000,random-R,0.8657718120805369
5,1200,random-R,0.8691275167785235
6,1400,random-R,0.8624161073825504
7,1600,random-R,0.8657718120805369
8,1800,random-R,0.8624161073825504
9,2000,random-R,0.8657718120805369
10,200,random-U,0.8489932885906041
11,400,random-U,0.8489932885906041
12,600,random-U,0.8489932885906041
13,800,random-U,0.8489932885906041
14,1000,random-U,0.8489932885906041
15,1200,random-U,0.8489932885906041
16,1400,random-U,0.8489932885906041
17,1600,random-U,0.8489932885906041
18,1800,random-U,0.8489932885906041
19,2000,random-U,0.8489932885906041
20,200,max-degree-R,0.8624161073825504
21,400,max-degree-R,0.8590604026845637
22,600,max-degree-R,0.8456375838926175
23,800,max-degree-R,0.8523489932885906
24,1000,max-degree-R,0.8523489932885906
25,1200,max-degree-R,0.8422818791946308
26,1400,max-degree-R,0.8523489932885906
27,1600,max-degree-R,0.8389261744966443
28,1800,max-degree-R,0.8422818791946308
29,2000,max-degree-R,0.8523489932885906
30,200,max-degree-U,0.8557046979865772
31,400,max-degree-U,0.8557046979865772
32,600,max-degree-U,0.8557046979865772
33,800,max-degree-U,0.8557046979865772
34,1000,max-degree-U,0.8557046979865772
35,1200,max-degree-U,0.8557046979865772
36,1400,max-degree-U,0.8557046979865772
37,1600,max-degree-U,0.8557046979865772
38,1800,max-degree-U,0.8557046979865772
39,2000,max-degree-U,0.8557046979865772
40,200,min-degree-R,0.8691275167785235
41,400,min-degree-R,0.8758389261744967
42,600,min-degree-R,0.8624161073825504
43,800,min-degree-R,0.8590604026845637
44,1000,min-degree-R,0.8657718120805369
45,1200,min-degree-R,0.8422818791946308
46,1400,min-degree-R,0.8590604026845637
47,1600,min-degree-R,0.8657718120805369
48,1800,min-degree-R,0.8657718120805369
49,2000,min-degree-R,0.8590604026845637
50,200,min-degree-U,0.8557046979865772
51,400,min-degree-U,0.8557046979865772
52,600,min-degree-U,0.8557046979865772
53,800,min-degree-U,0.8557046979865772
54,1000,min-degree-U,0.8557046979865772
55,1200,min-degree-U,0.8557046979865772
56,1400,min-degree-U,0.8557046979865772
57,1600,min-degree-U,0.8557046979865772
58,1800,min-degree-U,0.8523489932885906
59,2000,min-degree-U,0.8523489932885906
60,200,saliency-R,0.8523489932885906
61,400,saliency-R,0.8624161073825504
62,600,saliency-R,0.8657718120805369
63,800,saliency-R,0.8557046979865772
64,1000,saliency-R,0.8624161073825504
65,1200,saliency-R,0.8624161073825504
66,1400,saliency-R,0.8657718120805369
67,1600,saliency-R,0.8590604026845637
68,1800,saliency-R,0.8691275167785235
69,2000,saliency-R,0.8691275167785235
70,200,saliency-U,0.8557046979865772
71,400,saliency-U,0.8557046979865772
72,600,saliency-U,0.8557046979865772
73,800,saliency-U,0.8557046979865772
74,1000,saliency-U,0.8557046979865772
75,1200,saliency-U,0.8557046979865772
76,1400,saliency-U,0.8557046979865772
77,1600,saliency-U,0.8557046979865772
78,1800,saliency-U,0.8557046979865772
79,2000,saliency-U,0.8557046979865772
