,# edges,setting,Accuracy
0,200,random-R,0.7117117117117117
1,400,random-R,0.7192192192192193
2,600,random-R,0.6801801801801802
3,800,random-R,0.6891891891891891
4,1000,random-R,0.6861861861861862
5,1200,random-R,0.6591591591591591
6,1400,random-R,0.6696696696696697
7,1600,random-R,0.6591591591591591
8,1800,random-R,0.6636636636636637
9,2000,random-R,0.6381381381381381
10,200,random-U,0.6756756756756757
11,400,random-U,0.6741741741741741
12,600,random-U,0.6741741741741741
13,800,random-U,0.6681681681681682
14,1000,random-U,0.6606606606606606
15,1200,random-U,0.6486486486486487
16,1400,random-U,0.6396396396396397
17,1600,random-U,0.6366366366366366
18,1800,random-U,0.6366366366366366
19,2000,random-U,0.6291291291291291
20,200,max-degree-R,0.6981981981981982
21,400,max-degree-R,0.6951951951951952
22,600,max-degree-R,0.6921921921921922
23,800,max-degree-R,0.6771771771771772
24,1000,max-degree-R,0.6576576576576577
25,1200,max-degree-R,0.6756756756756757
26,1400,max-degree-R,0.6786786786786787
27,1600,max-degree-R,0.6666666666666666
28,1800,max-degree-R,0.6501501501501501
29,2000,max-degree-R,0.6126126126126126
30,200,max-degree-U,0.6696696696696697
31,400,max-degree-U,0.6591591591591591
32,600,max-degree-U,0.6621621621621622
33,800,max-degree-U,0.6561561561561562
34,1000,max-degree-U,0.6441441441441441
35,1200,max-degree-U,0.6351351351351351
36,1400,max-degree-U,0.6336336336336337
37,1600,max-degree-U,0.6276276276276276
38,1800,max-degree-U,0.6381381381381381
39,2000,max-degree-U,0.6321321321321322
40,200,min-degree-R,0.6711711711711712
41,400,min-degree-R,0.6726726726726727
42,600,min-degree-R,0.6516516516516516
43,800,min-degree-R,0.6471471471471472
44,1000,min-degree-R,0.6141141141141141
45,1200,min-degree-R,0.6141141141141141
46,1400,min-degree-R,0.5630630630630631
47,1600,min-degree-R,0.575075075075075
48,1800,min-degree-R,0.5225225225225225
49,2000,min-degree-R,0.5420420420420421
50,200,min-degree-U,0.6756756756756757
51,400,min-degree-U,0.6621621621621622
52,600,min-degree-U,0.6396396396396397
53,800,min-degree-U,0.6426426426426426
54,1000,min-degree-U,0.6441441441441441
55,1200,min-degree-U,0.6306306306306306
56,1400,min-degree-U,0.6246246246246246
57,1600,min-degree-U,0.6111111111111112
58,1800,min-degree-U,0.5990990990990991
59,2000,min-degree-U,0.5870870870870871
60,200,saliency-R,0.7057057057057057
61,400,saliency-R,0.7087087087087087
62,600,saliency-R,0.6726726726726727
63,800,saliency-R,0.6891891891891891
64,1000,saliency-R,0.6696696696696697
65,1200,saliency-R,0.7207207207207207
66,1400,saliency-R,0.7147147147147147
67,1600,saliency-R,0.7057057057057057
68,1800,saliency-R,0.7027027027027027
69,2000,saliency-R,0.7117117117117117
70,200,saliency-U,0.6846846846846847
71,400,saliency-U,0.6846846846846847
72,600,saliency-U,0.6846846846846847
73,800,saliency-U,0.6846846846846847
74,1000,saliency-U,0.6846846846846847
75,1200,saliency-U,0.6846846846846847
76,1400,saliency-U,0.6846846846846847
77,1600,saliency-U,0.6846846846846847
78,1800,saliency-U,0.6846846846846847
79,2000,saliency-U,0.6846846846846847
