,# edges,type,Model Accuracy
0,1,Retrain,0.7552552552552553
1,500,Retrain,0.7552552552552553
2,1000,Retrain,0.7552552552552553
3,1500,Retrain,0.7552552552552553
4,2000,Retrain,0.7552552552552553
5,1,Benign,0.7687687687687688
6,500,Benign,0.7717717717717718
7,1000,Benign,0.7417417417417418
8,1500,Benign,0.7507507507507507
9,2000,Benign,0.7612612612612613
10,1,Adversarial,0.7552552552552553
11,500,Adversarial,0.7657657657657657
12,1000,Adversarial,0.7657657657657657
13,1500,Adversarial,0.7492492492492493
14,2000,Adversarial,0.7492492492492493
