,# edges,type,Model Accuracy
0,1,Retrain,0.7837837837837838
1,500,Retrain,0.7837837837837838
2,1000,Retrain,0.7837837837837838
3,1500,Retrain,0.7837837837837838
4,2000,Retrain,0.7837837837837838
5,1,Benign,0.7717717717717718
6,500,Benign,0.7672672672672672
7,1000,Benign,0.7672672672672672
8,1500,Benign,0.7657657657657657
9,2000,Benign,0.7702702702702703
10,1,Adversarial,0.7837837837837838
11,500,Adversarial,0.7657657657657657
12,1000,Adversarial,0.7492492492492493
13,1500,Adversarial,0.7507507507507507
14,2000,Adversarial,0.7057057057057057
