,# edges,type,Model Accuracy
0,1,Retrain,0.8265682656826568
1,500,Retrain,0.8265682656826568
2,1000,Retrain,0.8265682656826568
3,1500,Retrain,0.8265682656826568
4,2000,Retrain,0.8265682656826568
5,1,Benign,0.8468634686346863
6,500,Benign,0.8542435424354243
7,1000,Benign,0.8450184501845018
8,1500,Benign,0.8468634686346863
9,2000,Benign,0.8265682656826568
10,1,Adversarial,0.8265682656826568
11,500,Adversarial,0.8542435424354243
12,1000,Adversarial,0.8413284132841329
13,1500,Adversarial,0.8321033210332104
14,2000,Adversarial,0.8265682656826568
