,# edges,type,Model Accuracy
0,1,Retrain,0.8708487084870848
1,500,Retrain,0.8708487084870848
2,1000,Retrain,0.8708487084870848
3,1500,Retrain,0.8708487084870848
4,2000,Retrain,0.8708487084870848
5,1,Benign,0.8726937269372693
6,500,Benign,0.8671586715867159
7,1000,Benign,0.8560885608856088
8,1500,Benign,0.8431734317343174
9,2000,Benign,0.8487084870848709
10,1,Adversarial,0.8708487084870848
11,500,Adversarial,0.8634686346863468
12,1000,Adversarial,0.8357933579335793
13,1500,Adversarial,0.8265682656826568
14,2000,Adversarial,0.8173431734317343
