,# edges,setting,Accuracy
0,1,Adversarial,0.6741741741741741
1,500,Adversarial,0.6681681681681682
2,1000,Adversarial,0.6396396396396397
3,1500,Adversarial,0.6231231231231231
4,2000,Adversarial,0.5570570570570571
5,1,Original Model,0.6741741741741741
6,500,Original Model,0.6741741741741741
7,1000,Original Model,0.6741741741741741
8,1500,Original Model,0.6741741741741741
9,2000,Original Model,0.6741741741741741
10,1,Unlearn,0.6741741741741741
11,500,Unlearn,0.6786786786786787
12,1000,Unlearn,0.6846846846846847
13,1500,Unlearn,0.6681681681681682
14,2000,Unlearn,0.6321321321321322
