,# edges,setting,Accuracy
0,1,Adversarial,0.7552552552552553
1,500,Adversarial,0.7582582582582582
2,1000,Adversarial,0.7507507507507507
3,1500,Adversarial,0.7387387387387387
4,2000,Adversarial,0.7282282282282282
5,1,Original Model,0.7552552552552553
6,500,Original Model,0.7552552552552553
7,1000,Original Model,0.7552552552552553
8,1500,Original Model,0.7552552552552553
9,2000,Original Model,0.7552552552552553
10,1,Unlearn,0.7552552552552553
11,500,Unlearn,0.7657657657657657
12,1000,Unlearn,0.7657657657657657
13,1500,Unlearn,0.7492492492492493
14,2000,Unlearn,0.7492492492492493
