,# edges,setting,Accuracy
0,1,Adversarial,0.7117117117117117
1,500,Adversarial,0.6771771771771772
2,1000,Adversarial,0.6291291291291291
3,1500,Adversarial,0.6336336336336337
4,2000,Adversarial,0.5780780780780781
5,1,Original Model,0.7117117117117117
6,500,Original Model,0.7117117117117117
7,1000,Original Model,0.7117117117117117
8,1500,Original Model,0.7117117117117117
9,2000,Original Model,0.7117117117117117
10,1,Unlearn,0.7117117117117117
11,500,Unlearn,0.6936936936936937
12,1000,Unlearn,0.6696696696696697
13,1500,Unlearn,0.6486486486486487
14,2000,Unlearn,0.6246246246246246
