,# edges,setting,Accuracy
0,1,Adversarial,0.7837837837837838
1,500,Adversarial,0.7597597597597597
2,1000,Adversarial,0.7552552552552553
3,1500,Adversarial,0.7642642642642643
4,2000,Adversarial,0.7387387387387387
5,1,Original Model,0.7837837837837838
6,500,Original Model,0.7837837837837838
7,1000,Original Model,0.7837837837837838
8,1500,Original Model,0.7837837837837838
9,2000,Original Model,0.7837837837837838
10,1,Unlearn,0.7837837837837838
11,500,Unlearn,0.7657657657657657
12,1000,Unlearn,0.7492492492492493
13,1500,Unlearn,0.7507507507507507
14,2000,Unlearn,0.7057057057057057
