,# edges,setting,Accuracy
0,1,Adversarial,0.6771771771771772
1,500,Adversarial,0.6681681681681682
2,1000,Adversarial,0.6351351351351351
3,1500,Adversarial,0.5780780780780781
4,2000,Adversarial,0.539039039039039
5,1,Original Model,0.6771771771771772
6,500,Original Model,0.6771771771771772
7,1000,Original Model,0.6771771771771772
8,1500,Original Model,0.6771771771771772
9,2000,Original Model,0.6771771771771772
10,1,Unlearn,0.6771771771771772
11,500,Unlearn,0.6801801801801802
12,1000,Unlearn,0.6621621621621622
13,1500,Unlearn,0.545045045045045
14,2000,Unlearn,0.5630630630630631
