,# edges,setting,Accuracy
0,1,Adversarial,0.7222222222222222
1,500,Adversarial,0.6561561561561562
2,1000,Adversarial,0.6816816816816816
3,1500,Adversarial,0.5795795795795796
4,2000,Adversarial,0.6111111111111112
5,1,Original Model,0.7222222222222222
6,500,Original Model,0.7222222222222222
7,1000,Original Model,0.7222222222222222
8,1500,Original Model,0.7222222222222222
9,2000,Original Model,0.7222222222222222
10,1,Unlearn,0.7222222222222222
11,500,Unlearn,0.6801801801801802
12,1000,Unlearn,0.6876876876876877
13,1500,Unlearn,0.6366366366366366
14,2000,Unlearn,0.6591591591591591
