,# edges,setting,Accuracy
0,1,Adversarial,0.7162162162162162
1,500,Adversarial,0.6606606606606606
2,1000,Adversarial,0.6111111111111112
3,1500,Adversarial,0.5855855855855856
4,2000,Adversarial,0.47897897897897895
5,1,Original Model,0.7162162162162162
6,500,Original Model,0.7162162162162162
7,1000,Original Model,0.7162162162162162
8,1500,Original Model,0.7162162162162162
9,2000,Original Model,0.7162162162162162
10,1,Unlearn,0.7162162162162162
11,500,Unlearn,0.536036036036036
12,1000,Unlearn,0.4339339339339339
13,1500,Unlearn,0.493993993993994
14,2000,Unlearn,0.35135135135135137
