,# edges,setting,Accuracy
0,1,Adversarial,0.8228782287822878
1,500,Adversarial,0.8081180811808119
2,1000,Adversarial,0.7896678966789668
3,1500,Adversarial,0.8062730627306273
4,2000,Adversarial,0.8099630996309963
5,1,Original Model,0.8228782287822878
6,500,Original Model,0.8228782287822878
7,1000,Original Model,0.8228782287822878
8,1500,Original Model,0.8228782287822878
9,2000,Original Model,0.8228782287822878
10,1,Unlearn,0.8228782287822878
11,500,Unlearn,0.8173431734317343
12,1000,Unlearn,0.8062730627306273
13,1500,Unlearn,0.8191881918819188
14,2000,Unlearn,0.8136531365313653
