,# edges,setting,Accuracy
0,1,Adversarial,0.8265682656826568
1,500,Adversarial,0.8597785977859779
2,1000,Adversarial,0.8523985239852399
3,1500,Adversarial,0.8357933579335793
4,2000,Adversarial,0.8357933579335793
5,1,Original Model,0.8265682656826568
6,500,Original Model,0.8265682656826568
7,1000,Original Model,0.8265682656826568
8,1500,Original Model,0.8265682656826568
9,2000,Original Model,0.8265682656826568
10,1,Unlearn,0.8265682656826568
11,500,Unlearn,0.8542435424354243
12,1000,Unlearn,0.8413284132841329
13,1500,Unlearn,0.8321033210332104
14,2000,Unlearn,0.8265682656826568
