,# edges,setting,Accuracy
0,1,Adversarial,0.8837638376383764
1,100,Adversarial,0.8763837638376384
2,200,Adversarial,0.8763837638376384
3,300,Adversarial,0.8597785977859779
4,400,Adversarial,0.8653136531365314
5,500,Adversarial,0.8339483394833949
6,1,Original Model,0.8837638376383764
7,100,Original Model,0.8837638376383764
8,200,Original Model,0.8837638376383764
9,300,Original Model,0.8837638376383764
10,400,Original Model,0.8837638376383764
11,500,Original Model,0.8837638376383764
12,1,Unlearn,0.8837638376383764
13,100,Unlearn,0.8800738007380073
14,200,Unlearn,0.8782287822878229
15,300,Unlearn,0.8653136531365314
16,400,Unlearn,0.8542435424354243
17,500,Unlearn,0.8560885608856088
