,# edges,setting,Accuracy
0,1,Adversarial,0.8708487084870848
1,500,Adversarial,0.8653136531365314
2,1000,Adversarial,0.8542435424354243
3,1500,Adversarial,0.8468634686346863
4,2000,Adversarial,0.8468634686346863
5,1,Original Model,0.8708487084870848
6,500,Original Model,0.8708487084870848
7,1000,Original Model,0.8708487084870848
8,1500,Original Model,0.8708487084870848
9,2000,Original Model,0.8708487084870848
10,1,Unlearn,0.8708487084870848
11,500,Unlearn,0.8634686346863468
12,1000,Unlearn,0.8357933579335793
13,1500,Unlearn,0.8265682656826568
14,2000,Unlearn,0.8173431734317343
