,# edges,setting,Accuracy
0,1,Adversarial,0.8136531365313653
1,500,Adversarial,0.7841328413284133
2,1000,Adversarial,0.7453874538745388
3,1500,Adversarial,0.7416974169741697
4,2000,Adversarial,0.6512915129151291
5,1,Original Model,0.8136531365313653
6,500,Original Model,0.8136531365313653
7,1000,Original Model,0.8136531365313653
8,1500,Original Model,0.8136531365313653
9,2000,Original Model,0.8136531365313653
10,1,Unlearn,0.8136531365313653
11,500,Unlearn,0.7509225092250923
12,1000,Unlearn,0.7343173431734318
13,1500,Unlearn,0.7361623616236163
14,2000,Unlearn,0.6217712177121771
