,# edges,setting,Accuracy
0,1,Adversarial,0.8191881918819188
1,500,Adversarial,0.7749077490774908
2,1000,Adversarial,0.7066420664206642
3,1500,Adversarial,0.6273062730627307
4,2000,Adversarial,0.7712177121771218
5,1,Original Model,0.8191881918819188
6,500,Original Model,0.8191881918819188
7,1000,Original Model,0.8191881918819188
8,1500,Original Model,0.8191881918819188
9,2000,Original Model,0.8191881918819188
10,1,Unlearn,0.8191881918819188
11,500,Unlearn,0.8025830258302583
12,1000,Unlearn,0.5904059040590406
13,1500,Unlearn,0.5940959409594095
14,2000,Unlearn,0.7804428044280443
