,# Layer,Setting,Accuracy
0,1,RI-original,0.8081180811808119
1,1,RI-retrain,0.7472324723247232
2,1,RI-ours,0.7177121771217713
3,1,NF-original,0.8210332103321033
4,1,NF-retrain,0.7730627306273062
5,1,NF-ours,0.7749077490774908
6,2,RI-original,0.8191881918819188
7,2,RI-retrain,0.7564575645756457
8,2,RI-ours,0.7380073800738007
9,2,NF-original,0.8062730627306273
10,2,NF-retrain,0.7453874538745388
11,2,NF-ours,0.7933579335793358
12,3,RI-original,0.7638376383763837
13,3,RI-retrain,0.7029520295202952
14,3,RI-ours,0.6678966789667896
15,3,NF-original,0.6900369003690037
16,3,NF-retrain,0.7158671586715867
17,3,NF-ours,0.5940959409594095
18,4,RI-original,0.6309963099630996
19,4,RI-retrain,0.46309963099630996
20,4,RI-ours,0.45387453874538747
21,4,NF-original,0.7232472324723247
22,4,NF-retrain,0.6937269372693727
23,4,NF-ours,0.522140221402214
24,1,RI-original,0.7767527675276753
25,1,RI-retrain,0.7601476014760148
26,1,RI-ours,0.6808118081180812
27,1,NF-original,0.8044280442804428
28,1,NF-retrain,0.7472324723247232
29,1,NF-ours,0.7287822878228782
30,2,RI-original,0.8321033210332104
31,2,RI-retrain,0.8044280442804428
32,2,RI-ours,0.7730627306273062
33,2,NF-original,0.7896678966789668
34,2,NF-retrain,0.7416974169741697
35,2,NF-ours,0.7416974169741697
36,3,RI-original,0.45571955719557194
37,3,RI-retrain,0.7822878228782287
38,3,RI-ours,0.37084870848708484
39,3,NF-original,0.7730627306273062
40,3,NF-retrain,0.5959409594095941
41,3,NF-ours,0.7324723247232472
42,4,RI-original,0.6383763837638377
43,4,RI-retrain,0.6531365313653137
44,4,RI-ours,0.3800738007380074
45,4,NF-original,0.584870848708487
46,4,NF-retrain,0.6402214022140221
47,4,NF-ours,0.35608856088560886
48,1,RI-original,0.7970479704797048
49,1,RI-retrain,0.7730627306273062
50,1,RI-ours,0.7398523985239852
51,1,NF-original,0.7822878228782287
52,1,NF-retrain,0.7730627306273062
53,1,NF-ours,0.6955719557195572
54,2,RI-original,0.6808118081180812
55,2,RI-retrain,0.7509225092250923
56,2,RI-ours,0.566420664206642
57,2,NF-original,0.7822878228782287
58,2,NF-retrain,0.7933579335793358
59,2,NF-ours,0.7693726937269373
60,3,RI-original,0.7287822878228782
61,3,RI-retrain,0.5830258302583026
62,3,RI-ours,0.6439114391143912
63,3,NF-original,0.7029520295202952
64,3,NF-retrain,0.7158671586715867
65,3,NF-ours,0.6309963099630996
66,4,RI-original,0.5904059040590406
67,4,RI-retrain,0.3837638376383764
68,4,RI-ours,0.3948339483394834
69,4,NF-original,0.7195571955719557
70,4,NF-retrain,0.6826568265682657
71,4,NF-ours,0.525830258302583
72,1,RI-original,0.7619926199261993
73,1,RI-retrain,0.7324723247232472
74,1,RI-ours,0.6697416974169742
75,1,NF-original,0.8025830258302583
76,1,NF-retrain,0.7730627306273062
77,1,NF-ours,0.7564575645756457
78,2,RI-original,0.8025830258302583
79,2,RI-retrain,0.7933579335793358
80,2,RI-ours,0.7380073800738007
81,2,NF-original,0.8376383763837638
82,2,NF-retrain,0.7675276752767528
83,2,NF-ours,0.8247232472324724
